ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
567;568;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465;81.6;10.2652;466.997;64.9302;0;11;1;-0.203603;-0.478943;-2.15169;-0.208247;-0.411469;-2.1594;0.389125;-1.59163;0.350833;3.71482;-13.3572;2.87362;0;0.026222;0.728943;1.5;-0.026222;-0.728943;-2.01155;-3.19846;15.0862;-3.19846;675;650;1076;1076;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0524441;0.947626;2.55; 
568;569;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465.2;88.8;10.2082;466.366;72.2996;0;12;1;-0.205717;-0.511095;-2.14447;-0.207488;-0.441357;-2.15492;0.329393;-1.63795;0.370932;3.54403;-14.554;3.20516;0;0.0474714;0.761095;1.5;-0.0474714;-0.761095;-2.0018;-2.22728;15.7516;-2.22728;675;650;1081;1075;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0949428;0.989423;2.55; 
569;570;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465.818;93.2727;10.2535;466.083;79.0151;0;13;1;-0.207817;-0.527073;-2.12312;-0.207587;-0.467071;-2.14538;0.26112;-1.65678;0.391908;3.16897;-15.3473;3.48784;0;0.072284;0.777073;1.5;-0.072284;-0.777073;-1.9705;-1.10724;16.0823;-1.10724;675;650;1086;1070;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.144568;1.01019;2.55; 
570;571;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465;98;10.1097;465.639;85.3221;0;14;1;-0.206734;-0.554111;-2.14056;-0.207331;-0.493183;-2.14394;0.197771;-1.65232;0.365924;0.720469;-10.2679;2.49312;0;0.098013;0.804111;1.5;-0.098013;-0.804111;-1.97739;-0.0165767;16.6419;-0.0165767;675;650;1093;1073;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.196026;1.04534;2.55; 
571;572;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464.333;103.667;10.1156;465.121;91.6042;0;15;1;-0.203325;-0.577203;-2.12405;-0.206129;-0.518389;-2.13797;0.143577;-1.64011;0.33934;-0.890854;-6.80588;1.70651;0;0.120418;0.827203;1.5;-0.120418;-0.827203;-1.97065;0.923952;17.1198;0.923952;675;650;1098;1072;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.240835;1.07536;2.55; 
572;573;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;463;108;10.2413;464.35;97.4765;0;16;1;-0.194332;-0.587803;-2.08644;-0.20259;-0.539214;-2.12251;0.116681;-1.60956;0.364086;-1.8235;-4.37441;1.09106;0;0.133605;0.837803;1.5;-0.133605;-0.837803;-1.94291;1.43004;17.3392;1.43004;675;650;1101;1067;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.267211;1.08914;2.55; 
573;574;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;462.333;111.667;10.272;463.59;102.848;0;17;1;-0.190514;-0.600969;-2.07048;-0.198967;-0.55774;-2.1069;0.10706;-1.54974;0.428061;-2.22027;-2.45741;0.962977;0;0.140333;0.850969;1.5;-0.140333;-0.850969;-1.9139;1.64925;17.6117;1.64925;675;650;1103;1062;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.280666;1.10626;2.55; 
574;575;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;462;113.429;10.3271;462.938;107.281;0;18;1;-0.187886;-0.604891;-2.05478;-0.195643;-0.571886;-2.09127;0.11153;-1.451;0.510996;-2.20201;-0.728008;1.13701;0;0.140758;0.854891;1.5;-0.140758;-0.854891;-1.86635;1.61487;17.6928;1.61487;675;650;1104;1053;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.281516;1.11136;2.55; 
575;576;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460;116.571;10.4537;461.864;111.434;0;19;1;-0.176063;-0.61013;-2.02169;-0.189769;-0.583359;-2.07039;0.138058;-1.33489;0.605996;-1.81254;0.848366;1.53698;0;0.125815;0.86013;1.5;-0.125815;-0.86013;-1.79147;1.07894;17.8013;1.07894;675;650;1101;1038;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.251631;1.11817;2.55; 
576;577;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459;118.4;10.3121;460.782;114.982;0;20;1;-0.173642;-0.625921;-2.04463;-0.184931;-0.596128;-2.06266;0.172269;-1.21195;0.688088;-1.18934;2.26723;2.20847;0;0.109816;0.875921;1.5;-0.109816;-0.875921;-1.76447;0.449953;18.1281;0.449953;675;1820;1101;1038;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.219633;1.1387;2.55; 
