ID;RS_ID;imLx_drone;imLy_drone;disparity_drone;imLx_pred_drone;imLy_pred_drone;n_frames_lost_drone;n_frames_tracking_drone;foundL_drone;posX_drone;posY_drone;posZ_drone;sposX_drone;sposY_drone;sposZ_drone;svelX_drone;svelY_drone;svelZ_drone;saccX_drone;saccY_drone;saccZ_drone;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;valid;posErrX;posErrY;posErrZ;velX;velY;velZ;accX;accY;accZ;hoverthrottle;autoThrottle;autoRoll;autoPitch;autoYaw;joyThrottle;joyRoll;joyPitch;joyYaw;joyArmSwitch;joyModeSwitch;joyTakeoffSwitch;throttleP;throttleI;throttleD;dt;dx;dy;dz;velx_sp;vely_sp;velz_sp;Unnamed: 75;time
54785.0;54789.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;137.0;177.0;10.6147;137.0;177.0;0.0;1.0;1.0;1.36824;-0.983766;-1.7811299999999999;1.36824;-0.983766;-1.7811299999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.000
54786.0;54790.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.667;174.667;10.7526;137.0;177.0;0.0;2.0;1.0;1.28724;-0.962465;-1.7647599999999999;1.34394;-0.977376;-1.7762200000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.011
54787.0;54791.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.667;174.667;10.7526;138.24200000000002;176.78799999999998;1.0;0.0;1.0;1.28724;-0.962465;-1.7647599999999999;1.34394;-0.977376;-1.7762200000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.022
54787.0;54791.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.667;174.667;10.7526;138.24200000000002;176.78799999999998;1.0;0.0;1.0;1.28724;-0.962465;-1.7647599999999999;1.34394;-0.977376;-1.7762200000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.033
54788.0;54792.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;169.6;171.2;11.4383;138.24200000000002;176.78799999999998;0.0;1.0;1.0;1.12745;-0.8926430000000001;-1.66802;1.27899;-0.9519559999999999;-1.7437599999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.044
54789.0;54793.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;185.0;170.0;10.4972;144.763;175.62599999999998;0.0;2.0;1.0;1.1553;-0.9680989999999999;-1.8209799999999998;1.2418799999999999;-0.956799;-1.76692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.055
54789.0;54793.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;185.0;170.0;10.4972;144.763;175.62599999999998;0.0;2.0;1.0;1.1553;-0.9680989999999999;-1.8209799999999998;1.2418799999999999;-0.956799;-1.76692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.066
54790.0;54794.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;185.0;170.0;10.4972;154.335;174.287;1.0;0.0;1.0;1.1553;-0.9680989999999999;-1.8209799999999998;1.2418799999999999;-0.956799;-1.76692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.077
54791.0;54795.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;204.0;169.0;10.4893;154.399;174.27700000000002;0.0;1.0;1.0;1.06574;-0.965009;-1.82518;1.1890399999999999;-0.9592620000000001;-1.7844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.088
54791.0;54795.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;204.0;169.0;10.4893;154.399;174.27700000000002;0.0;1.0;1.0;1.06574;-0.965009;-1.82518;1.1890399999999999;-0.9592620000000001;-1.7844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.099
54792.0;54796.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.0;168.0;10.6884;167.657;172.864;0.0;2.0;1.0;0.9711620000000001;-0.943293;-1.7939900000000002;1.12368;-0.954471;-1.78728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.110
54793.0;54797.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.0;168.0;10.5359;182.11599999999999;171.515;0.0;3.0;1.0;0.9188799999999999;-0.95694;-1.8199400000000001;1.06224;-0.9552120000000001;-1.79708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.121
54793.0;54797.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.0;168.0;10.5359;182.11599999999999;171.515;0.0;3.0;1.0;0.9188799999999999;-0.95694;-1.8199400000000001;1.06224;-0.9552120000000001;-1.79708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.132
54794.0;54798.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;246.0;168.0;10.5559;196.842;170.50400000000002;0.0;4.0;1.0;0.860391;-0.9551270000000001;-1.8164900000000002;1.00168;-0.9551860000000001;-1.8029;-2.40137;0.194846;-0.151686;-7.202560000000001;0.584414;-0.45496000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.143
54795.0;54799.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;257.0;167.0;10.5012;211.171;169.752;0.0;5.0;1.0;0.812585;-0.9562950000000001;-1.8288;0.9449540000000001;-0.955519;-1.81067;-2.58398;0.104715;-0.32000700000000004;-13.1645;0.7090069999999999;-1.36812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.154
54795.0;54799.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;257.0;167.0;10.5012;211.171;169.752;0.0;5.0;1.0;0.812585;-0.9562950000000001;-1.8288;0.9449540000000001;-0.955519;-1.81067;-2.58398;0.104715;-0.32000700000000004;-13.1645;0.7090069999999999;-1.36812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.165
54796.0;54800.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;257.0;167.0;10.5012;224.892;168.91299999999998;1.0;0.0;1.0;0.812585;-0.9562950000000001;-1.8288;0.9449540000000001;-0.955519;-1.81067;-2.58398;0.104715;-0.32000700000000004;-13.1645;0.7090069999999999;-1.36812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.176
54797.0;54801.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;283.0;164.0;10.4636;225.815;168.842;0.0;1.0;1.0;0.691465;-0.94826;-1.8439299999999998;0.868907;-0.953341;-1.82065;-2.66805;0.0731904;-0.353003;-15.8939;0.644728;-1.8786900000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.187
54798.0;54802.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;294.0;164.0;10.8142;243.262;167.372;0.0;2.0;1.0;0.61827;-0.917516;-1.78415;0.793716;-0.942594;-1.8097;-2.95514;0.101017;-0.29846999999999996;-19.6601;0.732902;-2.14972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.198
54798.0;54802.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;294.0;164.0;10.8142;243.262;167.372;0.0;2.0;1.0;0.61827;-0.917516;-1.78415;0.793716;-0.942594;-1.8097;-2.95514;0.101017;-0.29846999999999996;-19.6601;0.732902;-2.14972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.209
54799.0;54803.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;308.0;164.0;10.477;259.3;166.29;0.0;3.0;1.0;0.571461;-0.947044;-1.8415700000000002;0.7270399999999999;-0.9439290000000001;-1.8192599999999999;-3.13047;0.09668910000000001;-0.28854;-22.5093;0.7706350000000001;-2.2772900000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.220
54800.0;54804.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;308.0;164.0;10.477;275.171;165.497;1.0;0.0;1.0;0.571461;-0.947044;-1.8415700000000002;0.7270399999999999;-0.9439290000000001;-1.8192599999999999;-3.13047;0.09668910000000001;-0.28854;-22.5093;0.7706350000000001;-2.2772900000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.231
