ID;RS_ID;time;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; throttleP; throttleI; throttleD; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
97924;97931;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;-1; -1; -1; -1; -1; 517; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97925;97932;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;-1; -1; -1; -1; -1; 518; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97926;97933;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;556; 472; 15.493; -1; -1; 0; 1; 1; -0.412629; -1.43596; -0.652063;-0.412629; -1.43596; -0.652063;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97927;97934;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;558; 467; 15.5044; 556; 472; 0; 2; 1; -0.418765; -1.422; -0.661207;-0.41447; -1.43178; -0.654807;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97928;97935;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;568; 462; 15.4855; 556.182; 471.545; 0; 3; 1; -0.451512; -1.41081; -0.671649;-0.425582; -1.42549; -0.659859;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97929;97936;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;575; 456; 15.4652; 558.081; 470.011; 0; 4; 1; -0.474701; -1.39715; -0.684112;-0.440318; -1.41699; -0.667135;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97930;97937;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;579.2; 453.6; 15.3895; 561.602; 467.096; 0; 5; 1; -0.49066; -1.39778; -0.692131;-0.455421; -1.41122; -0.674634;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97931;97938;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;587.75; 448.25; 14.3636; 565.793; 463.881; 0; 6; 1; -0.555418; -1.4827; -0.752679;-0.48542; -1.43267; -0.698047;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97932;97939;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;591; 445; 14.5521; 571.429; 459.866; 0; 7; 1; -0.559373; -1.45456; -0.749595;-0.507606; -1.43924; -0.713512;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97933;97940;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;598.571; 440; 14.4212; 576.705; 455.859; 0; 8; 1; -0.59066; -1.45389; -0.766747;-0.532522; -1.44363; -0.729482;-1.04048; -0.0669352; -0.666378;-4.15278; -0.267154; -2.65967;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97934;97941;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;598.571; 440; 14.4212; 582.784; 451.447; 1; 0; 1; -0.59066; -1.45389; -0.766747;-0.532522; -1.44363; -0.729482;-1.04048; -0.0669352; -0.666378;-4.15278; -0.267154; -2.65967;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97935;97942;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;598.571; 440; 14.4212; 582.96; 451.316; 2; 0; 1; -0.59066; -1.45389; -0.766747;-0.532522; -1.44363; -0.729482;-1.04048; -0.0669352; -0.666378;-4.15278; -0.267154; -2.65967;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97936;97943;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;617; 427; 14.2107; 583.137; 451.185; 0; 1; 1; -0.664142; -1.43881; -0.805402;-0.572008; -1.44219; -0.752258;-1.06327; -0.0902269; -0.676837;-5.67933; -0.430791; -3.62495;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97937;97944;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;624; 422; 13.6824; 592.935; 444.182; 0; 2; 1; -0.71533; -1.47976; -0.847411;-0.615005; -1.45346; -0.780804;-1.16119; -0.16338; -0.746568;-6.88565; -0.747838; -4.41112;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97938;97945;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;624; 422; 13.6824; 602.172; 437.581; 1; 0; 1; -0.71533; -1.47976; -0.847411;-0.615005; -1.45346; -0.780804;-1.16119; -0.16338; -0.746568;-6.88565; -0.747838; -4.41112;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97939;97946;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;633.667; 413.667; 13.5599; 602.674; 437.217; 0; 1; 1; -0.757375; -1.46852; -0.873402;-0.657716; -1.45798; -0.808583;-1.2352; -0.222482; -0.804501;-7.41938; -1.04093; -4.78818;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97940;97947;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;641; 407; 13.6771; 612.202; 429.996; 0; 2; 1; -0.777653; -1.43644; -0.880467;-0.693697; -1.45152; -0.830148;-1.29554; -0.183661; -0.83434;-7.90021; -1.11344; -5.09384;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
97941;97948;2019/05/25 18:27:54;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;641; 407; 13.6771; 621.353; 422.733; 1; 0; 1; -0.777653; -1.43644; -0.880467;-0.693697; -1.45152; -0.830148;-1.29554; -0.183661; -0.83434;-7.90021; -1.11344; -5.09384;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
