ID;RS_ID;time;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; throttleP; throttleI; throttleD; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
1070;1089;2019/06/20 10:35:00;419.304;364.696;8.37467;418.783;359.082;0;10;1;0.0227092;-2.00296;-1.71254;0.0267091;-2.00634;-1.70862;-0.0302983;-0.0627043;-0.15294;-0.183614;-0.630663;-1.22184;376;280;11.5148;380.097;279.281;0;30;1;0.204177;-1.14966;-2.55346;0.234891;-1.13259;-2.53173;-1.15876;-0.362191;0.26484;0.074774;-5.76421;8.75162;1;0.0267091;-2.00634;-1.5;0;0;0;0.20449;-30.9979;0.20449;900;900;1024;1024;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;0.0507474;-3.81204;-2.85; 
1071;1090;2019/06/20 10:35:00;419.214;364.357;8.39375;419.352;358.737;0;11;1;0.0231929;-1.99672;-1.70975;0.0256543;-2.00345;-1.70896;-0.0399018;-0.0196977;-0.135803;-0.26961;-0.457107;-1.27576;379;283;11.5754;380.448;281.732;0;31;1;0.190175;-1.15446;-2.56812;0.221477;-1.13915;-2.54265;-1.09003;-0.418527;0.336888;0.927692;-5.53394;8.24297;1;0.0256543;-2.00345;-1.5;0;0;0;0.0884136;-30.61;0.0884136;900;900;1024;1024;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;0.0487431;-3.80656;-2.85; 
1072;1091;2019/06/20 10:35:00;419.429;363.714;8.39083;419.288;358.336;0;12;1;0.0219266;-1.99422;-1.71244;0.024536;-2.00068;-1.71;-0.0482317;0.0331644;-0.106973;-0.354497;-0.141741;-1.19291;382;287;11.6989;383.195;285.088;0;32;1;0.175372;-1.15655;-2.59257;0.207645;-1.14437;-2.55762;-1.02787;-0.449671;0.411377;1.68238;-5.1581;7.4789;1;0.024536;-2.00068;-1.5;0;0;0;-0.016133;-30.1451;-0.016133;900;900;1024;1024;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;0.0466184;-3.8013;-2.85; 
1073;1092;2019/06/20 10:35:00;419.5;363.4;8.38652;419.527;357.65;0;13;1;0.021513;-1.99368;-1.71434;0.0236291;-1.99858;-1.7113;-0.0546415;0.0631288;-0.0953908;-0.431039;0.16721;-1.09692;383.333;289.333;11.7351;385.983;289.394;0;33;1;0.169161;-1.16128;-2.60235;0.1961;-1.14944;-2.57104;-0.965925;-0.443232;0.501962;2.27692;-4.41686;6.88235;1;0.0236291;-1.99858;-1.5;0;0;0;-0.0974628;-29.8734;-0.0974628;750;1820;1013;352;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;0.0448953;-3.7973;-2.85; 
1074;1093;2019/06/20 10:35:00;421.614;359.088;8.39953;419.616;357.302;0;14;1;0.0089206;-1.96916;-1.72572;0.0192165;-1.98975;-1.71563;-0.0739284;0.117799;-0.0979801;-0.511233;1.02007;-0.411538;384;292;11.8736;387.06;291.948;0;34;1;0.164386;-1.15711;-2.62479;0.186586;-1.15174;-2.58717;-0.895;-0.406991;0.597362;2.78424;-3.38795;6.4281;1;-0.14517;-0.842646;-0.34042;0.164386;-1.14711;-1.37521;5.45249;-8.60989;5.45249;750;1043;1070;579;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;-0.275822;-1.60103;-0.646797; 
1075;1094;2019/06/20 10:35:00;422;358;8.38107;421.807;352.821;0;15;1;0.00664231;-1.96807;-1.73307;0.0154443;-1.98325;-1.72086;-0.096221;0.16871;-0.114433;-0.612669;1.65029;-0.0692067;385;294;11.8456;387.457;294.787;0;35;1;0.160563;-1.1669;-2.62615;0.178779;-1.15629;-2.59886;-0.813823;-0.36812;0.663886;3.26507;-2.27381;5.92078;1;-0.145118;-0.826355;-0.347011;0.160563;-1.1569;-1.37385;4.41877;-8.26596;4.41877;750;1048;1033;576;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;-0.275725;-1.57008;-0.659322; 
1076;1095;2019/06/20 10:35:00;421.965;357.333;8.38042;422.26;351.6;0;16;1;0.0068518;-1.96491;-1.73537;0.0128665;-1.97775;-1.72521;-0.113047;0.215466;-0.134984;-0.69826;2.10173;0.0302296;387.6;296.8;11.9224;388.104;296.842;0;36;1;0.148646;-1.16918;-2.64142;0.169739;-1.16016;-2.61163;-0.748639;-0.331031;0.717608;3.59785;-1.23977;5.3617;1;-0.13578;-0.818563;-0.366633;0.148646;-1.15918;-1.35858;3.7761;-8.07017;3.7761;750;1066;1010;566;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;-0.257982;-1.55527;-0.696602; 
1077;1096;2019/06/20 10:35:00;423;356;8.38717;422.272;350.79;0;17;1;0.000687951;-1.95669;-1.73832;0.00921295;-1.97143;-1.72915;-0.133527;0.257238;-0.161672;-0.793077;2.36766;-0.0852313;388.5;298;12.254;390.453;299.699;0;37;1;0.140959;-1.14163;-2.68086;0.161105;-1.1546;-2.6324;-0.690424;-0.26036;0.789214;3.75553;-0.11184;5.02449;1;-0.131746;-0.839796;-0.410006;0.140959;-1.13163;-1.31914;3.0658;-8.62411;3.0658;750;1127;988;532;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;-0.250318;-1.59561;-0.779012; 
1078;1097;2019/06/20 10:35:00;423.407;355.111;8.38805;423.377;349.297;0;18;1;-0.00173576;-1.95206;-1.74104;0.00592834;-1.96562;-1.73271;-0.154471;0.294455;-0.187763;-0.900373;2.4647;-0.373972;390;300;12.0368;391.166;300.961;0;38;1;0.137284;-1.16917;-2.6616;0.153959;-1.15897;-2.64116;-0.628782;-0.214568;0.807331;3.84805;0.872354;4.5969;1;-0.131356;-0.80645;-0.394314;0.137284;-1.15917;-1.3384;2.24735;-8.18585;2.24735;750;1142;964;531;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;-0.249576;-1.53225;-0.749197; 
1079;1098;2019/06/20 10:35:00;424;354;8.40529;423.848;348.268;0;19;1;-0.00525024;-1.94254;-1.74108;0.00257477;-1.95869;-1.73522;-0.176815;0.336061;-0.20824;-1.02842;2.56944;-0.675322;391.6;302.8;12.2414;392.365;302.827;0;39;1;0.128467;-1.15918;-2.69022;0.146311;-1.15903;-2.65588;-0.576222;-0.167069;0.823398;3.86606;1.62695;4.04259;1;-0.125892;-0.809517;-0.425445;0.128467;-1.14918;-1.30978;1.60211;-8.27962;1.60211;750;1173;946;516;1024;204;1024;1024;1024;1;3;0;1900;50;35;0.0166836;0;0;0;-0.239196;-1.53808;-0.808345; 
