ID;RS_ID;time;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; throttleP; throttleI; throttleD; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
108645;108653;2019/05/25 18:30:52;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;-1; -1; -1; -1; -1; 5689; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108646;108654;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;-1; -1; -1; -1; -1; 5690; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108647;108655;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;67.3333; 249.333; 16.4984; -1; -1; 0; 1; 1; 1.09109; -0.808381; -1.0151;1.09109; -0.808381; -1.0151;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108648;108656;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;88; 244.923; 16.3531; 67.3333; 249.333; 0; 2; 1; 1.03769; -0.804769; -1.03217;1.07507; -0.807297; -1.02022;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108649;108657;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;98; 239; 16.4363; 69.2121; 248.932; 0; 3; 1; 1.00207; -0.786277; -1.0377;1.05317; -0.800991; -1.02546;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108650;108658;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;123.5; 230.5; 16.6347; 73.8393; 247.336; 0; 4; 1; 0.913597; -0.756451; -1.04057;1.0113; -0.787629; -1.03;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108651;108659;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;142; 226; 16.4692; 84.1719; 243.833; 0; 5; 1; 0.866702; -0.753118; -1.05918;0.96792; -0.777276; -1.03875;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108652;108660;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;152; 219; 16.5008; 97.9388; 239.586; 0; 6; 1; 0.834789; -0.7347; -1.06981;0.927981; -0.764503; -1.04807;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108653;108661;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;175.6; 210.8; 16.5677; 111.838; 234.3; 0; 7; 1; 0.760311; -0.711928; -1.08027;0.87768; -0.748731; -1.05773;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108654;108662;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;188.8; 206.8; 16.4786; 128.988; 227.983; 0; 8; 1; 0.724434; -0.706063; -1.09335;0.831706; -0.73593; -1.06842;-2.25135; 0.642652; -0.448034;-9.00759; 2.57124; -1.79258;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108655;108663;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;204; 200; 16.9396; 145.643; 222.083; 0; 9; 1; 0.659922; -0.670781; -1.07557;0.780171; -0.716386; -1.07056;-2.44308; 0.724096; -0.449256;-15.1793; 4.43983; -2.87301;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108656;108664;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;223; 195; 17.0517; 162.353; 215.771; 0; 10; 1; 0.599961; -0.654638; -1.07725;0.726108; -0.697861; -1.07257;-2.60273; 0.792306; -0.439261;-19.483; 5.82233; -3.47486;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108657;108665;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;233.5; 190.5; 17.1354; 180.116; 209.673; 0; 11; 1; 0.566442; -0.640932; -1.07983;0.678208; -0.680783; -1.07475;-2.71794; 0.860511; -0.407218;-22.5377; 6.9279; -3.71022;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108658;108666;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;233.5; 190.5; 17.1354; 196.226; 203.889; 1; 0; 1; 0.566442; -0.640932; -1.07983;0.678208; -0.680783; -1.07475;-2.71794; 0.860511; -0.407218;-22.5377; 6.9279; -3.71022;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108659;108667;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;264; 182; 17.299; 197.436; 203.456; 0; 1; 1; 0.473071; -0.615207; -1.08428;0.616667; -0.66111; -1.07761;-2.69783; 0.870699; -0.345565;-22.7698; 7.14116; -3.4106;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108660;108668;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;288; 176; 17.4121; 217.895; 196.819; 0; 2; 1; 0.401193; -0.597425; -1.08752;0.552025; -0.642004; -1.08058;-2.73375; 0.887854; -0.285584;-23.0223; 7.32474; -3.02421;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108661;108669;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;297.889; 172.667; 17.3918; 239.892; 190.204; 0; 3; 1; 0.373276; -0.590449; -1.09451;0.4984; -0.626538; -1.08476;-2.7815; 0.907276; -0.22731;-15.6287; 5.30092; -1.05876;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108662;108670;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;313.333; 173.778; 17.3752; 258.96; 184.366; 0; 4; 1; 0.32926; -0.593573; -1.09365;0.447658; -0.616648; -1.08742;-2.80744; 0.885869; -0.194125;-10.6248; 3.73447; 0.23832;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
108663;108671;2019/05/25 18:30:53;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;332.706; 169.059; 17.4262; 277.484; 180.42; 0; 5; 1; 0.272802; -0.581; -1.09853;0.395201; -0.605954; -1.09076;-2.81868; 0.846544; -0.178814;-7.11507; 2.42659; 1.03571;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
