ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;
823;827;2019/10/02 16:15:44;0;519.057;326.457;11.1296;498.609;326.985;0;17;1;-0.430157;-1.3678;-1.37851;-0.339074;-1.44633;-1.455;-2.41199;1.52619;1.59878;-7.95326;5.04184;4.29793;371.333;138.667;7.69762; -nan; -nan;0;1;1;0.335678;-0.961063;-2.66284;0.290018;-0.959303;-2.73417;0.75025;-0.167176;0.682872;1.49607;9.18207;33.5504;1;-0.679298;-0.268916;1.11334;0.465823;-1.21106;-2.53551;-41.3328;19.1399;-41.3328;640.322;650;736;1238;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
824;828;2019/10/02 16:15:45;0;529.714;325.792;11.1718;509.613;326.671;0;18;1;-0.47613;-1.36014;-1.37492;-0.380191;-1.42048;-1.43098;-2.44696;1.52093;1.56167;-6.87693;3.59194;2.68827;371;140;7.52287; -nan; -nan;0;2;1;0.345687;-0.990774;-2.71983;0.306719;-0.968745;-2.72987;0.790289;-0.21599;0.631128;1.34896;4.81586;18.9455;1;-0.679298;-0.268916;1.11334;0.488478;-1.24077;-2.58986;-41.3328;19.1399;-41.3328;640.322;650;735;1240;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
825;829;2019/10/02 16:15:45;0;539.371;326.09;11.4196;520.53;326.528;0;19;1;-0.507995;-1.33172;-1.34438;-0.418532;-1.39385;-1.405;-2.45911;1.49913;1.51345;-5.70876;2.27111;1.18286;370;142;7.85465; -nan; -nan;0;3;1;0.337438;-0.959534;-2.59796;0.315934;-0.965982;-2.69029;0.793515;-0.210594;0.735803;0.39189;3.67962;13.9062;1;-0.679298;-0.268916;1.11334;0.481591;-1.20953;-2.48284;-41.3328;19.1399;-41.3328;640.322;650;729;1226;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
826;830;2019/10/02 16:15:45;0;549.757;324.897;11.5504;531.601;326.062;0;20;1;-0.547111;-1.31233;-1.33198;-0.457106;-1.36939;-1.38309;-2.455;1.47654;1.46175;-4.52691;1.15966;-0.113728;370;142;7.71973; -nan; -nan;0;4;1;0.343335;-0.976304;-2.64336;0.324155;-0.969078;-2.67621;0.772032;-0.20773;0.796916;0.871015;1.5733;8.29514;1;-0.679298;-0.268916;1.11334;0.49711;-1.2263;-2.50077;-41.3328;19.1399;-41.3328;640.322;650;730;1226;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
827;831;2019/10/02 16:15:45;0;559.446;322.862;11.7477;542.57;325.102;0;21;1;-0.57908;-1.28307;-1.31437;-0.493698;-1.3435;-1.36248;-2.42569;1.48478;1.4305;-3.31266;0.428156;-1.04793;370;143;7.68599; -nan; -nan;0;5;1;0.344843;-0.986011;-2.65139;0.330361;-0.974158;-2.66877;0.722885;-0.201636;0.825832;0.795423;0.523284;5.21691;1;-0.679298;-0.268916;1.11334;0.499135;-1.23601;-2.49213;-41.3328;19.1399;-41.3328;640.322;650;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
828;832;2019/10/02 16:15:45;0;568.179;321.731;12.2732;553.169;324.054;0;22;1;-0.58979;-1.2243;-1.26062;-0.522526;-1.30774;-1.33192;-2.34323;1.57822;1.48027;-1.91914;0.448165;-1.22795;369;144;8.0892; -nan; -nan;0;6;1;0.333823;-0.942015;-2.51584;0.3314;-0.964515;-2.62289;0.642206;-0.141388;0.980666;0.224762;0.303675;4.08833;1;-0.679298;-0.268916;1.11334;0.472041;-1.19201;-2.35794;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167058;-1.3586;-0.349591;1.37832; 
829;833;2019/10/02 16:15:45;0;576.592;321.808;12.4999;563.39;323.312;0;23;1;-0.612682;-1.20236;-1.2376;-0.549573;-1.27612;-1.30362;-2.24591;1.62614;1.49223;-0.488766;0.667738;-1.16194;370;145;7.81066; -nan; -nan;0;7;1;0.339339;-0.980943;-2.60204;0.333781;-0.969443;-2.61664;0.55996;-0.125296;1.0574;-0.624485;0.349325;3.94753;1;-0.679298;-0.268916;1.11334;0.473119;-1.23094;-2.39776;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
830;834;2019/10/02 16:15:45;0;584.277;323.881;12.6758;573.105;323.409;0;24;1;-0.63443;-1.19248;-1.21593;-0.57503;-1.25103;-1.27731;-2.12503;1.65184;1.50852;0.99137;0.923024;-0.90923;369;146;8.10166; -nan; -nan;0;8;1;0.333309;-0.950852;-2.50519;0.33364;-0.963866;-2.5832;0.443404;-0.055709;1.21969;-1.75893;0.849192;4.71716;1;-0.679298;-0.268916;1.11334;0.448177;-1.20085;-2.28828;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
831;835;2019/10/02 16:15:45;0;590.795;326.227;13.1091;582.083;324.207;0;25;1;-0.638273;-1.16052;-1.17082;-0.594003;-1.22388;-1.24537;-1.97521;1.66936;1.5421;2.52576;1.23309;-0.431178;369;146;8.10166; -nan; -nan;1;0;1;0.333309;-0.950852;-2.50519;0.33364;-0.963866;-2.5832;0.443404;-0.055709;1.21969;-1.75893;0.849192;4.71716;1;-0.679298;-0.268916;1.11334;0.429464;-1.20085;-2.24069;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
832;836;2019/10/02 16:15:45;0;596.706;328.824;13.4205;590.325;325.595;0;26;1;-0.645438;-1.14166;-1.13835;-0.609433;-1.19921;-1.21326;-1.79298;1.68071;1.60296;4.15719;1.55457;0.304764;369;148;8.02907; -nan; -nan;0;1;1;0.336322;-0.969828;-2.521;0.334444;-0.965654;-2.56454;0.329354;-0.0323067;1.16193;-2.64298;1.11933;4.28783;1;-0.679298;-0.268916;1.11334;0.435669;-1.21983;-2.24772;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
833;837;2019/10/02 16:15:45;0;600.7;331.8;13.5211;597.428;327.533;0;27;1;-0.655377;-1.14233;-1.12383;-0.623216;-1.18215;-1.18643;-1.59261;1.65227;1.66426;5.81861;1.60112;1.11569;368.8;148.4;8.0529; -nan; -nan;0;2;1;0.336567;-0.969028;-2.51218;0.335081;-0.966667;-2.54883;0.234985;-0.0111352;1.13285;-3.42269;1.34403;3.7217;1;-0.679298;-0.268916;1.11334;0.410104;-1.21903;-2.25275;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
834;838;2019/10/02 16:15:45;0;602.75;332.786;13.7137;603.087;329.251;0;28;1;-0.653634;-1.12929;-1.10608;-0.632342;-1.16629;-1.16233;-1.39378;1.55579;1.6753;7.27984;0.871158;1.44764;368.8;148.4;8.0529; -nan; -nan;1;0;1;0.336567;-0.969028;-2.51218;0.335081;-0.966667;-2.54883;0.234985;-0.0111352;1.13285;-3.42269;1.34403;3.7217;1;-0.679298;-0.268916;1.11334;0.389385;-1.21903;-2.25755;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
