ID;RS_ID;insect_log;imLx_drone;imLy_drone;disparity_drone;imLx_pred_drone;imLy_pred_drone;n_frames_lost_drone;n_frames_tracking_drone;foundL_drone;posX_drone;posY_drone;posZ_drone;sposX_drone;sposY_drone;sposZ_drone;svelX_drone;svelY_drone;svelZ_drone;saccX_drone;saccY_drone;saccZ_drone;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;valid;posErrX;posErrY;posErrZ;velX;velY;velZ;accX;accY;accZ;hoverthrottle;autoThrottle;autoRoll;autoPitch;autoYaw;joyThrottle;joyRoll;joyPitch;joyYaw;joyArmSwitch;joyModeSwitch;joyTakeoffSwitch;throttleP;throttleI;throttleD;dt;dx;dy;dz;velx_sp;vely_sp;velz_sp;Unnamed: 76;time
957.0;960.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;825.0;321.0;14.421;831.9910000000001;321.447;0.0;8.0;1.0;-1.3906;-1.01156;-1.10094;-1.40599;-1.00465;-1.0992600000000001;0.10307100000000001;-0.245194;-0.191834;0.41153;-0.978982;-0.765932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.110
958.0;961.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;821.0;321.0;14.2354;828.8610000000001;321.816;0.0;9.0;1.0;-1.3947100000000001;-1.02475;-1.11529;-1.4026100000000001;-1.01068;-1.10407;0.152521;-0.245852;-0.178646;0.8558879999999999;-1.569;-1.1728399999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.121
958.0;961.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;821.0;321.0;14.2354;828.8610000000001;321.816;0.0;9.0;1.0;-1.3947100000000001;-1.02475;-1.11529;-1.4026100000000001;-1.01068;-1.10407;0.152521;-0.245852;-0.178646;0.8558879999999999;-1.569;-1.1728399999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.132
959.0;962.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;817.0;322.0;14.4083;825.408;322.35900000000004;0.0;10.0;1.0;-1.3641299999999998;-1.01539;-1.10008;-1.39106;-1.0121;-1.10287;0.22836700000000001;-0.236027;-0.15118199999999998;1.42533;-1.88378;-1.3073299999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.143
960.0;963.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;814.4;322.0;14.196;822.115;322.749;0.0;11.0;1.0;-1.3753799999999998;-1.0305799999999998;-1.11653;-1.38636;-1.0176399999999999;-1.10697;0.27035;-0.238405;-0.145819;1.9346299999999998;-2.08215;-1.36661;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.154
960.0;963.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;814.4;322.0;14.196;822.115;322.749;0.0;11.0;1.0;-1.3753799999999998;-1.0305799999999998;-1.11653;-1.38636;-1.0176399999999999;-1.10697;0.27035;-0.238405;-0.145819;1.9346299999999998;-2.08215;-1.36661;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.165
961.0;964.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;810.0;322.57099999999997;14.2927;818.424;323.189;0.0;12.0;1.0;-1.3507200000000001;-1.0253;-1.10792;-1.3756700000000002;-1.01994;-1.10725;0.3379;-0.22560700000000003;-0.12525;2.5099099999999996;-2.15007;-1.32005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.176
962.0;965.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;809.0;322.4;13.9629;815.418;323.45;0.0;13.0;1.0;-1.37905;-1.0490000000000002;-1.13442;-1.37668;-1.0286600000000001;-1.1154;0.346074;-0.243019;-0.14247;2.8877099999999998;-2.2603400000000002;-1.36087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.187
963.0;966.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;804.0;323.42900000000003;14.0056;811.7539999999999;323.92900000000003;0.0;14.0;1.0;-1.35703;-1.04891;-1.1290200000000001;-1.37079;-1.03473;-1.1194899999999999;0.348195;-0.265906;-0.166243;2.71133;-1.4389100000000001;-0.7143470000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.198
963.0;966.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;804.0;323.42900000000003;14.0056;811.7539999999999;323.92900000000003;0.0;14.0;1.0;-1.35703;-1.04891;-1.1290200000000001;-1.37079;-1.03473;-1.1194899999999999;0.348195;-0.265906;-0.166243;2.71133;-1.4389100000000001;-0.7143470000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.209
