ID;RS_ID;insect_log;imLx_drone;imLy_drone;disparity_drone;imLx_pred_drone;imLy_pred_drone;n_frames_lost_drone;n_frames_tracking_drone;foundL_drone;posX_drone;posY_drone;posZ_drone;sposX_drone;sposY_drone;sposZ_drone;svelX_drone;svelY_drone;svelZ_drone;saccX_drone;saccY_drone;saccZ_drone;dtrkr_state;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;trkrs_state;interceptor_state;hunt_vol_check;nav_state;valid;flight_mode;target_pos_x;target_pos_y;target_pos_z;hoverthrottle;autoThrottle;autoRoll;autoPitch;autoYaw;joyThrottle;joyRoll;joyPitch;joyYaw;joyArmSwitch;joyModeSwitch;joyTakeoffSwitch;dt;heading;Sheading;Unnamed: 69;time
2641.0;2644.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;350.0;74.0;5.397130000000001;350.0;74.0;0.0;1.0;1.0;0.685709;-0.016206;-4.1181;0.685709;-0.016206;-4.1181;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.000
2642.0;2645.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;349.0;73.0;5.10939;349.909;73.9091;0.0;2.0;1.0;0.734103;-0.06265;-4.35569;0.700227;-0.030139999999999997;-4.18938;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.011
2643.0;2646.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;347.0;71.0;4.98147;349.909;73.9091;1.0;0.0;1.0;0.734103;-0.06265;-4.35569;0.700227;-0.030139999999999997;-4.18938;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.022
2643.0;2646.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;347.0;71.0;4.98147;349.909;73.9091;1.0;0.0;1.0;0.734103;-0.06265;-4.35569;0.700227;-0.030139999999999997;-4.18938;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.033
2644.0;2647.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;346.0;69.0;5.20913;349.022;72.7955;0.0;1.0;1.0;0.748817;-0.012;-4.2945199999999994;0.714804;-0.024697999999999998;-4.22092;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.044
2645.0;2648.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;343.6;67.2;5.33964;347.67400000000004;71.4031;0.0;2.0;1.0;0.752969;0.025236;-4.19931;0.7262529999999999;-0.009718000000000001;-4.21444;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.055
2645.0;2648.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;343.6;67.2;5.33964;347.67400000000004;71.4031;0.0;2.0;1.0;0.752969;0.025236;-4.19931;0.7262529999999999;-0.009718000000000001;-4.21444;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.066
2646.0;2649.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;342.0;65.4286;5.3996;346.18300000000005;69.8332;0.0;3.0;1.0;0.75941;0.048861;-4.16218;0.736201;0.007856;-4.19876;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.077
2647.0;2650.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;341.0;63.0;5.30804;344.77;67.9743;0.0;4.0;1.0;0.781922;0.051942999999999996;-4.2472199999999996;0.7499170000000001;0.021082;-4.2133;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.088
2647.0;2650.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;341.0;63.0;5.30804;344.77;67.9743;0.0;4.0;1.0;0.781922;0.051942999999999996;-4.2472199999999996;0.7499170000000001;0.021082;-4.2133;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;675.0;304.0;1024.0;1024.0;1024.0;224.0;1024.0;1024.0;1024.0;1824.0;3.0;0.0;0.0;0.00022151900000000002;0.0;;1970-01-01 00:00:00.099
