ID;RS_ID;insect_log;imLx_drone;imLy_drone;disparity_drone;imLx_pred_drone;imLy_pred_drone;n_frames_lost_drone;n_frames_tracking_drone;foundL_drone;posX_drone;posY_drone;posZ_drone;sposX_drone;sposY_drone;sposZ_drone;svelX_drone;svelY_drone;svelZ_drone;saccX_drone;saccY_drone;saccZ_drone;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;valid;posErrX;posErrY;posErrZ;velX;velY;velZ;accX;accY;accZ;hoverthrottle;autoThrottle;autoRoll;autoPitch;autoYaw;joyThrottle;joyRoll;joyPitch;joyYaw;joyArmSwitch;joyModeSwitch;joyTakeoffSwitch;dt;dx;dy;dz;velx_sp;vely_sp;velz_sp;Unnamed: 73;time
557.0;558.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;482.727;7.81818;10.8777;482.727;7.81818;0.0;1.0;1.0;-0.273459;-0.168466;-2.21541;-0.273459;-0.168466;-2.21541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;675.0;228.0;1024.0;1024.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.000
558.0;559.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;478.222;14.6667;11.0189;482.31800000000004;8.44077;0.0;2.0;1.0;-0.249554;-0.19228499999999998;-2.17008;-0.266287;-0.175612;-2.20181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.249554;0.44228500000000004;1.5;-0.249554;-0.44228500000000004;-2.17008;4.7415199999999995;9.15354;4.7415199999999995;675.0;650.0;1097.0;1088.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.49910699999999997;0.574971;2.55;;1970-01-01 00:00:00.011
559.0;560.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;102.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;474.0;25.0;10.7644;480.981;11.1024;0.0;3.0;1.0;-0.235881;-0.23695500000000003;-2.19522;-0.25716500000000003;-0.19401500000000002;-2.19983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.235881;0.486955;1.5;-0.235881;-0.486955;-2.19522;4.481730000000001;10.078;4.481730000000001;675.0;650.0;1097.0;1093.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.471761;0.633041;2.55;;1970-01-01 00:00:00.022
559.0;560.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;102.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;474.0;25.0;10.7644;480.981;11.1024;0.0;3.0;1.0;-0.235881;-0.23695500000000003;-2.19522;-0.25716500000000003;-0.19401500000000002;-2.19983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.235881;0.486955;1.5;-0.235881;-0.486955;-2.19522;4.481730000000001;10.078;4.481730000000001;675.0;650.0;1097.0;1093.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.471761;0.633041;2.55;;1970-01-01 00:00:00.033
560.0;561.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;103.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.538;34.4615;10.5165;479.015;15.9636;0.0;4.0;1.0;-0.22976100000000002;-0.280145;-2.22244;-0.248944;-0.219854;-2.20661;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22976100000000002;0.530145;1.5;-0.22976100000000002;-0.530145;-2.22244;4.365469999999999;10.9719;4.365469999999999;675.0;650.0;1099.0;1099.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.45952299999999996;0.689189;2.55;;1970-01-01 00:00:00.044
561.0;562.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;104.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.86699999999996;40.6667;10.7017;476.836;21.8469;0.0;5.0;1.0;-0.217991;-0.299534;-2.16818;-0.23965799999999998;-0.243758;-2.19509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.217991;0.549534;1.5;-0.217991;-0.549534;-2.16818;4.14182;11.3731;4.14182;675.0;650.0;1098.0;1092.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.43598100000000006;0.714394;2.55;;1970-01-01 00:00:00.055
561.0;562.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;104.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.86699999999996;40.6667;10.7017;476.836;21.8469;0.0;5.0;1.0;-0.217991;-0.299534;-2.16818;-0.23965799999999998;-0.243758;-2.19509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.217991;0.549534;1.5;-0.217991;-0.549534;-2.16818;4.14182;11.3731;4.14182;675.0;650.0;1098.0;1092.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.43598100000000006;0.714394;2.55;;1970-01-01 00:00:00.066
562.0;563.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;105.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;467.778;47.3333;10.4874;474.506;28.3971;0.0;6.0;1.0;-0.21250500000000003;-0.33222199999999996;-2.19515;-0.231512;-0.27029699999999995;-2.1951;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21250500000000003;0.582222;1.5;-0.21250500000000003;-0.582222;-2.19515;4.03759;12.0497;4.03759;675.0;650.0;1099.0;1098.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.425009;0.756889;2.55;;1970-01-01 00:00:00.077
563.0;564.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;106.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;466.222;55.3333;10.5049;472.269;35.6509;0.0;7.0;1.0;-0.204763;-0.363502;-2.17075;-0.223487;-0.298259;-2.1878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.204763;0.613502;1.5;-0.204763;-0.613502;-2.17075;3.8904900000000002;12.697000000000001;3.8904900000000002;675.0;650.0;1099.0;1096.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.409526;0.797552;2.55;;1970-01-01 00:00:00.088
563.0;564.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;106.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;466.222;55.3333;10.5049;472.269;35.6509;0.0;7.0;1.0;-0.204763;-0.363502;-2.17075;-0.223487;-0.298259;-2.1878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.204763;0.613502;1.5;-0.204763;-0.613502;-2.17075;3.8904900000000002;12.697000000000001;3.8904900000000002;675.0;650.0;1099.0;1096.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.409526;0.797552;2.55;;1970-01-01 00:00:00.099
