rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
277595;3088.920045;566;198;54.5119;0;0.266627;2;568.204;197.679;1;0;1;1;-0.243013;-0.359225;-0.666806;-0.234835;-0.360969;-0.668519;1;-0.406729;-0.00560171;-0.11879;1;-1.5287;1.99065;4.05155;-1;fp_not_a_fp;-1;0.205597;
277596;3088.931172;566;198;54.5119;0;0.266627;2;570.686;197.375;2;0;1;1;-0.247626;-0.359164;-0.667876;-0.240003;-0.36018;-0.668128;1;-0.416174;0.00694279;-0.0934387;1;-1.74216;2.28983;4.63137;-1;fp_not_a_fp;-1;0.205592;
277597;3088.942300;566;198;54.5119;0;0.266627;2;573.296;197.079;3;0;1;1;-0.252358;-0.358945;-0.668628;-0.245413;-0.35907;-0.667091;1;-0.421229;0.0137457;-0.0796671;1;-1.85758;2.45224;4.94507;-1;fp_not_a_fp;-1;0.205607;
277598;3088.953428;566;198;54.5119;0;0.266627;2;575.976;196.787;4;0;1;1;-0.257153;-0.358641;-0.669208;-0.250037;-0.358994;-0.668129;1;-0.424554;0.0182897;-0.070462;1;-0.859288;1.1421;2.30686;-1;fp_not_a_fp;-1;0.205574;
277599;3088.964555;566;198;54.5119;0;0.266627;2;578.626;196.495;5;0;1;1;-0.261923;-0.358368;-0.669848;-0.254765;-0.35878;-0.66889;1;-0.426456;0.0209728;-0.0650117;1;-0.443218;0.597041;1.20822;-1;fp_not_a_fp;-1;0.205586;
277600;3088.975683;566;198;54.5119;0;0.266627;2;581.27;196.202;6;0;1;1;-0.266689;-0.358098;-0.670496;-0.259531;-0.358513;-0.669545;1;-0.427472;0.0225003;-0.0618911;1;-0.253827;0.349521;0.70876;-1;fp_not_a_fp;-1;0.205607;
277601;3088.986811;566;198;54.5119;0;0.266627;2;583.912;195.91;7;0;1;1;-0.271454;-0.357826;-0.67114;-0.264305;-0.358233;-0.670173;1;-0.427992;0.0233748;-0.0600882;1;-0.15193;0.216334;0.439875;-1;fp_not_a_fp;-1;0.205606;
277602;3088.997938;566;198;54.5119;0;0.266627;2;586.551;195.619;8;0;1;1;-0.276219;-0.357553;-0.67178;-0.269071;-0.357961;-0.670816;1;-0.428234;0.0238853;-0.0590201;1;-0.0826718;0.125714;0.257061;-1;fp_not_a_fp;-1;0.20561;
277603;3089.009067;566;198;54.5119;0;0.266627;2;589.187;195.328;9;0;1;1;-0.280982;-0.35728;-0.67242;-0.273836;-0.357689;-0.671459;1;-0.428307;0.0241806;-0.0583845;1;-0.0415817;0.0720683;0.148888;-1;fp_not_a_fp;-1;0.205646;
277604;3089.020194;566;198;54.5119;0;0.266627;2;591.819;195.037;10;0;1;1;-0.285744;-0.357007;-0.67306;-0.2786;-0.357416;-0.6721;1;-0.428288;0.0243494;-0.058006;1;-0.0183218;0.0415432;0.0872866;-1;fp_not_a_fp;-1;0.205553;
277605;3089.031322;566;198;54.5119;0;0.266627;2;594.448;194.747;11;0;1;1;-0.290504;-0.356734;-0.673699;-0.283362;-0.357143;-0.67274;1;-0.428212;0.0244442;-0.0577772;1;-0.00495989;0.0240276;0.0519213;-1;fp_not_a_fp;-1;0.205637;
277606;3089.042450;566;198;54.5119;0;0.266627;2;597.073;194.457;12;0;1;1;-0.295262;-0.35646;-0.674338;-0.288123;-0.35687;-0.673379;1;-0.4281;0.0244959;-0.0576333;1;0.00300974;0.013718;0.0311576;-1;fp_not_a_fp;-1;0.205597;
277607;3089.053577;566;198;54.5119;0;0.266627;2;599.695;194.168;13;0;1;1;-0.300019;-0.356187;-0.674976;-0.292882;-0.356597;-0.674018;1;-0.427975;0.0245224;-0.0575424;1;0.00747305;0.00767908;0.0189204;-1;fp_not_a_fp;-1;0.205586;
277608;3089.064704;566;198;54.5119;0;0.266627;2;602.313;193.879;14;0;1;1;-0.304773;-0.355914;-0.675614;-0.29764;-0.356324;-0.674657;1;-0.427838;0.0245347;-0.0574799;1;0.0101111;0.00416382;0.0118211;-1;fp_not_a_fp;-1;0.205591;
277609;3089.075833;566;198;54.5119;0;0.266627;2;604.928;193.59;15;0;1;1;-0.309527;-0.355641;-0.676252;-0.302395;-0.356051;-0.675295;1;-0.427688;0.0245383;-0.0574345;1;0.0117754;0.00211264;0.00770068;-1;fp_not_a_fp;-1;0.205608;
277610;3089.086960;566;198;54.5119;0;0.266627;2;607.539;193.302;16;0;1;1;-0.314278;-0.355369;-0.67689;-0.307149;-0.355778;-0.675933;1;-0.427538;0.024537;-0.0573991;1;0.0126226;0.000924968;0.00526298;-1;fp_not_a_fp;-1;0.205571;
277611;3089.098088;566;198;54.5119;0;0.266627;2;610.147;193.014;17;0;1;1;-0.319028;-0.355096;-0.677527;-0.311901;-0.355505;-0.676571;1;-0.427388;0.024533;-0.0573704;1;0.0131703;0.00023784;0.00386418;-1;fp_not_a_fp;-1;0.205597;
277612;3089.109216;-1;-1;-1;-1;-1;-1;612.751;192.727;18;0;0;1;-0.319028;-0.355096;-0.677527;-0.311901;-0.355505;-0.676571;1;-0.427388;0.024533;-0.0573704;1;0.0131703;0.00023784;0.00386418;-1;fp_not_a_fp;-1;0.205569;
277613;3089.120343;-1;-1;-1;-1;-1;-1;612.751;192.727;19;0;0;1;-0.319028;-0.355096;-0.677527;-0.311901;-0.355505;-0.676571;1;-0.427388;0.024533;-0.0573704;1;0.0131703;0.00023784;0.00386418;-1;fp_not_a_fp;-1;0.205613;
