ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;
5939;5954;2019/11/01 19:50:53;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540.25;473.75;15.435;540.25;473.75;0;1;1;-0.375996;-0.44497;-0.571429;-0.375996;-0.44497;-0.571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5940;5955;2019/11/01 19:50:53;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;535.75;468.25;15.4349;539.841;473.25;0;2;1;-0.361433;-0.43138;-0.582924;-0.371627;-0.4409;-0.574878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5941;5956;2019/11/01 19:50:53;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;533.333;462.667;15.4947;538.795;471.549;0;3;1;-0.352246;-0.41211;-0.592295;-0.365813;-0.43226;-0.580103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5942;5957;2019/11/01 19:50:53;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;528.222;455.333;15.2927;536.595;468.175;0;4;1;-0.340203;-0.41248;-0.615587;-0.35813;-0.42633;-0.590748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5943;5958;2019/11/01 19:50:54;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;524.5;449.25;15.2028;533.715;463.669;0;5;1;-0.329982;-0.40556;-0.632131;-0.349686;-0.42009;-0.603163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5944;5959;2019/11/01 19:50:54;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;521.75;444.25;15.1761;530.64;458.68;0;6;1;-0.321511;-0.39546;-0.643871;-0.341233;-0.41271;-0.615375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5945;5960;2019/11/01 19:50:54;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;519.75;438.25;15.0104;527.702;453.179;0;7;1;-0.318404;-0.39562;-0.66387;-0.334385;-0.40758;-0.629924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5946;5961;2019/11/01 19:50:54;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;516;432.571;14.922;524.442;447.444;0;8;1;-0.307735;-0.38936;-0.680074;-0.32639;-0.40211;-0.644969;0.451548;0.38712;-0.699629;1.89531;1.42696;-4.9219;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5947;5962;2019/11/01 19:50:54;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514;428.571;14.9275;521.444;442.034;0;9;1;-0.300929;-0.37863;-0.688468;-0.318751;-0.39507;-0.658019;0.45885;0.380785;-0.730905;1.57896;0.311559;-4.62214;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
5948;5963;2019/11/01 19:50:54;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;513.429;424;14.7473;519.055;436.727;0;10;1;-0.30267;-0.38365;-0.706878;-0.313927;-0.39164;-0.672677;0.451818;0.366961;-0.765692;0.914153;0.232652;-3.28491;0;0;0;0;0;0;0;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
