ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; dtrkr_state;imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; trkrs_state;interceptor_state;hunt_vol_check;nav_state;valid; flight_mode;target_pos_x; target_pos_y; target_pos_z; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch;dt; heading; Sheading;
2654;2657;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;332;56;5.42145;337.054;60.3303;2;0;1;0.80925;0.151733;-4.0347;0.788228;0.096172;-4.12466;0.580195;0.859224;0.479546;-0.786241;6.29514;16.7023;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2655;2658;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;329;52;5.27161;336.922;60.1962;3;0;1;0.80925;0.151733;-4.0347;0.788228;0.096172;-4.12466;0.580195;0.859224;0.479546;-0.786241;6.29514;16.7023;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2656;2659;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;328;51;5.52424;332.635;55.7785;0;1;1;0.868882;0.175523;-4.1439;0.812424;0.119978;-4.13043;0.53072;0.784136;0.451425;-0.627472;3.13424;8.85345;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2657;2660;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;327.333;49.3333;5.48631;330.413;53.12;0;2;1;0.88096;0.182536;-4.18134;0.832985;0.138745;-4.1457;0.517432;0.752359;0.432792;-1.10495;1.78524;8.43498;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2658;2661;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;326;48;5.33876;330.137;52.8284;1;0;1;0.88096;0.182536;-4.18134;0.832985;0.138745;-4.1457;0.517432;0.752359;0.432792;-1.10495;1.78524;8.43498;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2659;2662;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;325;47;5.43202;329.862;52.5368;2;0;1;0.88096;0.182536;-4.18134;0.832985;0.138745;-4.1457;0.517432;0.752359;0.432792;-1.10495;1.78524;8.43498;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2660;2663;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;324;46;5.38815;329.587;52.2452;3;0;1;0.88096;0.182536;-4.18134;0.832985;0.138745;-4.1457;0.517432;0.752359;0.432792;-1.10495;1.78524;8.43498;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2661;2664;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;323;44;5.50207;326.083;47.9122;0;1;1;0.917783;0.224196;-4.19744;0.858424;0.164381;-4.16122;0.491138;0.684376;0.330565;-0.912467;0.469192;4.16829;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2662;2665;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;323;43;5.47993;324.512;45.5877;0;2;1;0.921489;0.228694;-4.21967;0.877344;0.183674;-4.17876;0.493157;0.64649;0.197548;-0.733027;0.119853;2.69079;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2663;2666;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;322;42;5.43912;323.236;43.8769;0;3;1;0.937588;0.230767;-4.25665;0.895417;0.197802;-4.20213;0.510015;0.619047;0.0468168;-0.630506;-0.313235;1.17162;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2664;2667;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;322;40;5.43476;322.4;42.1036;0;4;1;0.938341;0.24517;-4.27073;0.908294;0.212013;-4.22271;0.545692;0.602676;-0.167644;-0.447179;-0.700077;-0.588983;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2665;2668;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;321;39;5.54831;321.509;40.5703;0;5;1;0.928142;0.266933;-4.18855;0.914248;0.228489;-4.21246;0.598435;0.650423;-0.318922;-0.0880735;-0.775943;-2.40378;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2666;2669;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;320;38;5.74881;320.575;39.1831;0;6;1;0.904461;0.297838;-4.0475;0.911312;0.249293;-4.16297;0.567539;0.684491;-0.237314;0.0805212;-0.646205;-3.22584;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2667;2670;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;319;36;5.42881;319.606;37.5799;0;7;1;0.966975;0.274395;-4.29674;0.928011;0.256824;-4.2031;0.618335;0.779756;-0.309583;0.556123;-0.00693804;-4.49116;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2668;2671;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;318.667;34.6667;5.57214;318.818;36.0254;0;8;1;0.945091;0.301514;-4.19315;0.933135;0.270231;-4.20012;0.59376;0.813449;-0.271026;0.735354;0.662456;-4.56558;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2669;2672;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;318.667;34.6667;5.57214;318.311;35.3456;1;0;1;0.945091;0.301514;-4.19315;0.933135;0.270231;-4.20012;0.59376;0.813449;-0.271026;0.735354;0.662456;-4.56558;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2670;2673;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;317;33;5.78308;317.311;33.7812;0;1;1;0.925017;0.3369;-4.04855;0.9307;0.290232;-4.15464;0.477005;0.804392;-0.000118867;0.328241;1.03178;-2.89998;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2671;2674;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;316.333;32.3333;5.54562;316.448;32.5671;0;2;1;0.97063;0.315542;-4.22538;0.942679;0.297825;-4.17587;0.403879;0.776314;0.160235;-0.288389;1.21332;-0.617874;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2672;2675;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;316.571;32;6.45878;315.95;31.6465;0;3;1;0.831558;0.407345;-3.62948;0.831558;0.407345;-3.62948;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2673;2676;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;316;32;5.47095;315.429;31.02;0;4;1;0.986921;0.309364;-4.28481;0.986921;0.309364;-4.28481;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2674;2677;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;316;32;5.47095;314.893;30.2838;1;0;1;0.986921;0.309364;-4.28481;0.986921;0.309364;-4.28481;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
