RS_ID;time;imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; 
7038;116.863142;474.706;217.176;12.5209;478.925;216.167;0;31;1;-0.20934;-0.768387;-1.49799;-0.297087;-0.742197;-1.47771;2.28401;-0.460316;-0.373719;2.83099;1.93849;4.24267;
7039;116.879833;464;217;12.5678;467.81;217.29;0;32;1;-0.166125;-0.764912;-1.49275;-0.257799;-0.749011;-1.48222;2.311;-0.450027;-0.285078;2.34947;1.38893;4.45453;
7040;116.89653;452.4;216;12.4994;456.346;217.757;0;33;1;-0.120805;-0.765645;-1.50291;-0.216701;-0.754001;-1.48843;2.32513;-0.44488;-0.257013;1.98289;1.04407;4.55415;
7041;116.913227;445.333;215;12.4983;446.065;217.746;0;34;1;-0.0926518;-0.762264;-1.50504;-0.179486;-0.75648;-1.49341;2.33269;-0.43262;-0.260745;1.67079;0.749379;4.21982;
7042;116.929924;438.909;211.273;12.3566;436.853;216.527;0;35;1;-0.0678157;-0.757986;-1.5298;-0.145985;-0.756932;-1.50433;2.30722;-0.410508;-0.319939;1.21533;0.543321;3.29695;
7043;116.946621;429.6;206;12.2121;427.516;213.943;0;36;1;-0.0306464;-0.748326;-1.55865;-0.111383;-0.75435;-1.52062;2.276;-0.339652;-0.398038;0.701342;0.707589;2.04334;
7044;116.963319;422.727;202.182;12.0862;418.86;210.829;0;37;1;-0.00263971;-0.742495;-1.58276;-0.0787602;-0.750794;-1.53926;2.23737;-0.238119;-0.484614;0.234575;1.31178;0.783208;
7045;116.980015;418.25;197.75;11.9774;411.462;207.141;0;38;1;0.015957;-0.733274;-1.60634;-0.0503451;-0.745538;-1.55939;2.17072;-0.129003;-0.598881;-0.419328;2.06882;-0.782996;
7046;116.996713;412.25;191.75;11.6528;404.497;202.545;0;39;1;0.0420501;-0.73148;-1.6639;-0.0226265;-0.74132;-1.59074;2.07731;-0.0267706;-0.767846;-1.24105;2.91068;-2.5094;
7047;117.013409;406.714;186.429;11.4622;397.996;197.512;0;40;1;0.066807;-0.723615;-1.70313;0.00420355;-0.736009;-1.62446;1.97981;0.0656742;-0.983949;-2.1536;3.73595;-4.39318;
7048;117.030107;402.25;181.75;11.4148;392.17;192.373;0;41;1;0.0865659;-0.708932;-1.7204;0.0289123;-0.727886;-1.65324;1.8862;0.155377;-1.18494;-2.97319;4.50098;-6.08963;
7049;117.046804;399.231;175.231;11.3025;387.293;186.583;0;42;1;0.100732;-0.691088;-1.75185;0.0504583;-0.716846;-1.68282;1.7779;0.242967;-1.35859;-3.77265;5.02682;-7.48898;
7050;117.063501;396.727;169.091;10.9943;383.264;180.448;0;43;1;0.1149;-0.686369;-1.81487;0.0697907;-0.707703;-1.72244;1.65986;0.317828;-1.54652;-4.56939;5.23583;-8.73326;
7051;117.080198;394.714;164.429;10.5654;380.005;174.542;0;44;1;0.129055;-0.695191;-1.89953;0.0875698;-0.703949;-1.77556;1.54657;0.356747;-1.79104;-5.23368;5.08095;-9.99991;
7052;117.096895;395;159;10.4713;378.027;168.569;0;45;1;0.128855;-0.679069;-1.9295;0.0999554;-0.696485;-1.82174;1.41738;0.393062;-1.99696;-5.77515;4.72485;-10.9074;
7053;117.113592;394.75;154.5;10.4506;376.805;162.851;0;46;1;0.130302;-0.661834;-1.94404;0.109059;-0.68609;-1.85843;1.26908;0.435149;-2.13237;-6.30279;4.31011;-11.1298;
7054;117.13029;396;149.429;9.99679;376.597;157.146;0;47;1;0.129988;-0.669992;-2.04492;0.115338;-0.68126;-1.91438;1.10652;0.447252;-2.32207;-6.89468;3.75144;-11.2181;
7055;117.146986;398;144;9.77124;377.356;151.344;0;48;1;0.122793;-0.661486;-2.10596;0.117575;-0.675328;-1.97185;0.93189;0.434123;-2.54725;-7.51471;3.01409;-11.4768;
7056;117.163684;399.75;139.75;9.49848;378.724;145.856;0;49;1;0.117142;-0.661176;-2.17757;0.117445;-0.671082;-2.03357;0.749403;0.40669;-2.7706;-8.14403;2.16326;-11.7735;
7057;117.18038;402.4;135;9.47075;380.808;140.442;0;50;1;0.103546;-0.641471;-2.19643;0.113275;-0.662199;-2.08243;0.552276;0.410712;-2.88757;-8.85635;1.51342;-11.4422;
7058;117.197078;405.6;128;9.09762;383.574;134.374;0;51;1;0.090272;-0.634582;-2.30567;0.106374;-0.653914;-2.1494;0.356994;0.416402;-3.04077;-9.54762;1.00124;-11.033;
7059;117.213775;407.6;122.8;8.82986;386.438;128.411;0;52;1;0.0817265;-0.628415;-2.39025;0.0989799;-0.646264;-2.22165;0.173953;0.408853;-3.2747;-10.1011;0.495751;-11.1808;
7060;117.230472;410;118;8.71691;389.486;122.658;0;53;1;0.0690706;-0.612799;-2.43493;0.0900071;-0.636225;-2.28564;0.00323279;0.425125;-3.44713;-10.4658;0.209105;-11.2005;
7061;117.247169;413.231;110.769;8.56939;392.919;116.291;0;54;1;0.0514794;-0.586942;-2.49785;0.0784488;-0.62144;-2.3493;-0.154278;0.470234;-3.57532;-10.6162;0.269646;-10.8251;
7062;117.263866;416;104;8.47259;396.468;109.631;0;55;1;0.0357863;-0.559175;-2.54628;0.0656501;-0.60276;-2.40839;-0.299367;0.55493;-3.64176;-10.5572;0.753664;-9.9733;
7063;117.280563;418.222;98.6667;8.53183;399.914;103.223;0;56;1;0.0225633;-0.52832;-2.54416;0.052724;-0.580428;-2.44912;-0.421384;0.659444;-3.64916;-10.2218;1.44531;-9.02477;
7064;117.29726;421.818;90.7273;8.44956;403.709;96.1759;0;57;1;0.00158359;-0.492923;-2.59232;0.0373819;-0.554177;-2.49208;-0.528296;0.793888;-3.55772;-9.66781;2.37438;-7.4789;
7065;117.313957;424.222;82.6667;8.33482;407.364;88.6326;0;58;1;-0.0127625;-0.457981;-2.65208;0.0223386;-0.525318;-2.54008;-0.622985;0.959237;-3.40603;-8.98263;3.62216;-5.01169;
7066;117.330655;426;77;8.22462;410.706;81.4999;0;59;1;-0.0237007;-0.43439;-2.70477;0.00852679;-0.498039;-2.58949;-0.699118;1.12728;-3.25681;-8.19386;4.97678;-2.24709;
