rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
265450;2953.776701;684;422;57;2.82843;0;15;-1;-1;0;1;1;1;-0.427773;-0.652114;-0.428313;-0.427773;-0.652114;-0.428313;0;0;0;0;0;0;0;0;0.0023589;fp_not_a_fp;-1;0.205521;
265451;2953.787828;684;422;59.4523;2;0.0892857;6;684;422;0;2;1;1;-0.410129;-0.625216;-0.410646;-0.418951;-0.638665;-0.41948;1;0.202259;0.308332;0.202514;0;0;0;0;0.00159919;fp_not_a_fp;-1;0.205543;
265452;2953.798957;680;424;59.4662;2;0.117467;12;684;422;0;3;1;1;-0.403661;-0.627761;-0.408739;-0.413854;-0.63503;-0.4159;1;0.334184;0.367257;0.282232;0;11.8547;5.29493;7.16345;0.00159882;fp_not_a_fp;-1;0.205478;
265453;2953.810084;678;424;59.5298;2.82843;0.0918652;13;679.458;424.271;0;4;1;1;-0.400036;-0.62711;-0.40829;-0.410399;-0.63305;-0.413997;1;0.38763;0.352223;0.284327;0;8.32889;1.97194;3.67587;0.00225864;fp_not_a_fp;-1;0.205523;
265454;2953.821211;674;424;59.4803;2.82843;0.115968;14;677.042;424.344;0;5;1;1;-0.393975;-0.627671;-0.408604;-0.40195;-0.626939;-0.40907;1;0.429748;0.29466;0.245329;0;6.81432;-0.409766;1.28234;0.00226054;fp_not_a_fp;-1;0.205522;
265455;2953.832340;672;426;59.5599;2;0.111851;15;672.463;424.329;0;6;1;1;-0.390279;-0.6295;-0.406263;-0.396987;-0.62801;-0.407974;1;0.434701;0.212318;0.224751;0;5.222;-2.15713;0.49947;0.00159631;fp_not_a_fp;-1;0.205537;
265456;2953.843467;670;426;59.5721;2.82843;0.0870303;18;670.165;426.548;0;7;1;1;-0.387007;-0.62939;-0.406167;-0.392824;-0.628418;-0.407331;1;0.418809;0.15247;0.188685;1;1.90127;-4.8255;-2.1017;0.00225705;fp_not_a_fp;-1;0.205533;
265457;2953.854594;668;428;59.6291;2;0.108096;12;667.848;426.597;0;8;1;1;-0.383471;-0.631453;-0.403986;-0.388683;-0.629503;-0.406255;1;0.399349;0.0846367;0.174713;1;0.26331;-6.01173;-2.46269;0.00159445;fp_not_a_fp;-1;0.20549;
265458;2953.865723;664;428;59.8757;2.82843;0.103719;13;665.826;428.807;0;9;1;1;-0.375541;-0.628892;-0.402296;-0.384074;-0.629809;-0.404678;1;0.431267;0.0751702;0.166016;1;0.0340338;-4.9311;-1.78189;0.0022456;fp_not_a_fp;-1;0.205516;
265459;2953.876850;662;428;59.6358;2.82843;0.0908211;18;661.568;428.791;0;10;1;1;-0.373863;-0.631441;-0.403902;-0.37997;-0.630294;-0.404088;1;0.40868;0.0324491;0.122844;1;-0.584694;-4.04115;-2.28959;0.00225464;fp_not_a_fp;-1;0.205518;
