ID;RS_ID;imLx_drone;imLy_drone;disparity_drone;imLx_pred_drone;imLy_pred_drone;n_frames_lost_drone;n_frames_tracking_drone;foundL_drone;posX_drone;posY_drone;posZ_drone;sposX_drone;sposY_drone;sposZ_drone;svelX_drone;svelY_drone;svelZ_drone;saccX_drone;saccY_drone;saccZ_drone;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;valid;posErrX;posErrY;posErrZ;velX;velY;velZ;accX;accY;accZ;hoverthrottle;autoThrottle;autoRoll;autoPitch;autoYaw;joyThrottle;joyRoll;joyPitch;joyYaw;joyArmSwitch;joyModeSwitch;joyTakeoffSwitch;throttleP;throttleI;throttleD;dt;dx;dy;dz;velx_sp;vely_sp;velz_sp;Unnamed: 75;time
28276.0;28279.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;25.0;14.7168;170.0;25.0;0.0;1.0;1.0;0.874923;-0.296248;-1.59289;0.874923;-0.296248;-1.59289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.000
28277.0;28280.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;25.0;14.7168;170.0;25.0;1.0;0.0;1.0;0.874923;-0.296248;-1.59289;0.874923;-0.296248;-1.59289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.011
28278.0;28281.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;192.5;38.25;15.1941;170.0;25.0;0.0;1.0;1.0;0.773517;-0.321839;-1.51683;0.8445020000000001;-0.30392600000000003;-1.57007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.022
28278.0;28281.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;192.5;38.25;15.1941;170.0;25.0;0.0;1.0;1.0;0.773517;-0.321839;-1.51683;0.8445020000000001;-0.30392600000000003;-1.57007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.033
28279.0;28282.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;192.5;38.25;15.1941;173.61700000000002;27.1298;1.0;0.0;1.0;0.773517;-0.321839;-1.51683;0.8445020000000001;-0.30392600000000003;-1.57007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.044
28280.0;28283.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;221.0;54.0;15.5692;173.622;27.1329;0.0;1.0;1.0;0.663503;-0.354568;-1.4501;0.7902020000000001;-0.31911799999999996;-1.5340799999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.055
28280.0;28283.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;221.0;54.0;15.5692;173.622;27.1329;0.0;1.0;1.0;0.663503;-0.354568;-1.4501;0.7902020000000001;-0.31911799999999996;-1.5340799999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.066
28281.0;28284.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;237.0;64.0;15.8427;184.875;33.5145;0.0;2.0;1.0;0.601633;-0.373705;-1.4062299999999999;0.733631;-0.335494;-1.49573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.077
28282.0;28285.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;244.8;67.4;16.1081;198.234;41.3269;0.0;3.0;1.0;0.5675479999999999;-0.375994;-1.37676;0.683806;-0.347644;-1.46004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.088
28282.0;28285.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;244.8;67.4;16.1081;198.234;41.3269;0.0;3.0;1.0;0.5675479999999999;-0.375994;-1.37676;0.683806;-0.347644;-1.46004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200.0;228.0;1024.0;1024.0;1024.0;228.0;1024.0;1024.0;1024.0;1.0;4.0;0.0;1900.0;50.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.099
