RS_ID;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;Unnamed: 22;time
7022.0;649.538;203.692;13.9064;679.2360000000001;197.394;0.0;15.0;1.0;-0.814743;-0.649997;-1.37289;-0.868927;-0.5949270000000001;-1.30692;0.987625;-1.39551;-1.41283;-0.6405810000000001;-5.1022099999999995;-6.32356;;1970-01-01 00:00:00.220
7023.0;639.3330000000001;202.417;13.8056;665.32;199.50900000000001;0.0;16.0;1.0;-0.783868;-0.650755;-1.38521;-0.843409;-0.611676;-1.33041;1.07444;-1.38469;-1.44545;0.0829832;-4.84415;-6.21778;;1970-01-01 00:00:00.231
7023.0;639.3330000000001;202.417;13.8056;665.32;199.50900000000001;0.0;16.0;1.0;-0.783868;-0.650755;-1.38521;-0.843409;-0.611676;-1.33041;1.07444;-1.38469;-1.44545;0.0829832;-4.84415;-6.21778;;1970-01-01 00:00:00.242
7024.0;628.0;204.0;13.732999999999999;651.794;201.513;0.0;17.0;1.0;-0.7469020000000001;-0.659168;-1.3896600000000001;-0.814457;-0.625923;-1.34818;1.18392;-1.32707;-1.43181;1.15359;-3.89835;-5.40151;;1970-01-01 00:00:00.253
7025.0;615.0;205.0;13.4938;638.058;203.261;0.0;18.0;1.0;-0.712151;-0.67405;-1.41245;-0.7837649999999999;-0.640361;-1.3674600000000001;1.30964;-1.26204;-1.41714;2.40929;-2.61685;-4.3412;;1970-01-01 00:00:00.264
7025.0;615.0;205.0;13.4938;638.058;203.261;0.0;18.0;1.0;-0.712151;-0.67405;-1.41245;-0.7837649999999999;-0.640361;-1.3674600000000001;1.30964;-1.26204;-1.41714;2.40929;-2.61685;-4.3412;;1970-01-01 00:00:00.275
7026.0;602.706;204.94099999999997;13.4864;624.379;204.50099999999998;0.0;19.0;1.0;-0.667132;-0.6742319999999999;-1.41333;-0.748775;-0.650522;-1.3812200000000001;1.45404;-1.16513;-1.35695;3.76378;-1.0772700000000002;-2.9917599999999998;;1970-01-01 00:00:00.286
7027.0;593.6669999999999;204.167;13.4358;611.729;205.15099999999998;0.0;20.0;1.0;-0.6361319999999999;-0.674284;-1.42009;-0.714982;-0.657651;-1.39288;1.57979;-1.04375;-1.27027;4.88846;0.572658;-1.53526;;1970-01-01 00:00:00.297
7027.0;593.6669999999999;204.167;13.4358;611.729;205.15099999999998;0.0;20.0;1.0;-0.6361319999999999;-0.674284;-1.42009;-0.714982;-0.657651;-1.39288;1.57979;-1.04375;-1.27027;4.88846;0.572658;-1.53526;;1970-01-01 00:00:00.308
7028.0;580.0;204.111;13.4954;598.436;205.582;0.0;21.0;1.0;-0.582879;-0.67113;-1.41392;-0.675351;-0.661695;-1.39919;1.7207700000000001;-0.892834;-1.13058;5.86029;2.3506299999999998;0.20577199999999998;;1970-01-01 00:00:00.319
7029.0;568.4;206.13299999999998;13.0313;585.306;206.488;0.0;22.0;1.0;-0.559295;-0.7017260000000001;-1.46041;-0.640534;-0.673704;-1.41756;1.84248;-0.783363;-1.02633;6.5827100000000005;3.81132;1.7969099999999998;;1970-01-01 00:00:00.330
7029.0;568.4;206.13299999999998;13.0313;585.306;206.488;0.0;22.0;1.0;-0.559295;-0.7017260000000001;-1.46041;-0.640534;-0.673704;-1.41756;1.84248;-0.783363;-1.02633;6.5827100000000005;3.81132;1.7969099999999998;;1970-01-01 00:00:00.341
7030.0;559.263;204.52599999999998;13.0586;573.055;206.63;0.0;23.0;1.0;-0.523273;-0.694951;-1.46043;-0.605356;-0.680078;-1.43042;1.9403700000000002;-0.686242;-0.9441450000000001;6.969869999999999;4.84541;3.02525;;1970-01-01 00:00:00.352
7031.0;547.0;205.6;12.9609;560.497;207.035;0.0;24.0;1.0;-0.480084;-0.703761;-1.46937;-0.567774;-0.687183;-1.4421;2.02661;-0.598692;-0.8645129999999999;7.044569999999999;5.55582;4.02161;;1970-01-01 00:00:00.363
7032.0;534.4;207.2;13.0496;547.617;207.797;0.0;25.0;1.0;-0.428726;-0.704271;-1.45633;-0.5260600000000001;-0.69231;-1.4463700000000002;2.1052;-0.526059;-0.778837;6.82665;5.88513;4.72121;;1970-01-01 00:00:00.374
