rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
280876;3125.428037;90;316;26.769;4.47214;0;31;-1;-1;0;1;1;1;1.17731;-1.06959;-1.11474;1.17731;-1.06959;-1.11474;0;0;0;0;0;0;0;0;0.00791836;fp_not_a_fp;-1;0.205531;
280877;3125.439164;88;316;26.5461;5.65685;0.0286797;18;90;316;0;2;1;1;1.19433;-1.07853;-1.12414;1.18582;-1.07406;-1.11944;1;0.195199;-0.10244;-0.107667;0;0;0;0;0.0101001;fp_not_a_fp;-1;0.205547;
280878;3125.450292;94;314;26.7154;4.47214;0.0972942;11;87.7477;316;0;3;1;1;1.16542;-1.06594;-1.12088;1.17902;-1.07136;-1.11992;1;-0.0803956;0.0125715;-0.10108;0;-24.7649;10.335;0.591905;0.00793421;fp_not_a_fp;-1;0.205495;
280879;3125.461420;94;314;26.7358;4.47214;0.0182373;77;94.4336;313.747;0;4;1;1;1.16453;-1.06513;-1.12002;1.1754;-1.0698;-1.11994;1;-0.194255;0.0678479;-0.0756346;0;-17.4987;7.65132;1.43935;0.00792819;fp_not_a_fp;-1;0.205518;
280880;3125.472547;96;312;26.8068;4.47214;0.0713116;32;94.6659;313.673;0;5;1;1;1.15432;-1.05648;-1.12096;1.16965;-1.06652;-1.1215;1;-0.333581;0.181161;-0.0663054;0;-15.8396;8.49542;1.23904;0.00790721;fp_not_a_fp;-1;0.205541;
280881;3125.483675;100;312;27.0891;5.65685;0.0810327;31;96.9345;311.428;0;6;1;1;1.12829;-1.04556;-1.10922;1.15314;-1.05828;-1.11777;1;-0.646933;0.330057;0.0806074;0;-18.9192;9.71651;4.22968;0.00989759;fp_not_a_fp;-1;0.205519;
280882;3125.494802;100;312;27.3218;7.2111;0.0114591;126;101.454;311.392;0;7;1;1;1.11868;-1.03665;-1.09977;1.14146;-1.05096;-1.1125;1;-0.804067;0.451568;0.239332;1;-16.2583;9.86281;7.64782;0.0125096;fp_not_a_fp;-1;0.205518;
280883;3125.505929;102;310;27.1894;4.47214;0.0519397;43;101.626;311.417;0;8;1;1;1.11711;-1.03596;-1.10899;1.1296;-1.04366;-1.10974;1;-0.784514;0.452138;0.168775;1;-13.2609;8.6337;5.49091;0.00779592;fp_not_a_fp;-1;0.205491;
280884;3125.517058;106;310;27.3876;4.47214;0.0768439;30;103.679;309.244;0;9;1;1;1.09518;-1.02855;-1.1009;1.11482;-1.03668;-1.10472;1;-0.927707;0.479612;0.210759;1;-13.3474;6.70499;6.22446;0.0077396;fp_not_a_fp;-1;0.205547;
280885;3125.528185;106;310;27.4308;7.2111;0.0114591;175;108.056;309.298;0;10;1;1;1.09345;-1.02693;-1.09917;1.10611;-1.03202;-1.10221;1;-0.888341;0.448372;0.221116;1;-5.42347;2.65817;3.15677;0.0124599;fp_not_a_fp;-1;0.205513;
280886;3125.539313;108;308;27.2375;4.47214;0.0508436;43;107.875;309.412;0;11;1;1;1.0942;-1.02848;-1.11082;1.09998;-1.02998;-1.10497;1;-0.750222;0.360472;0.0636636;1;1.21003;-2.04671;-3.94683;0.00778216;fp_not_a_fp;-1;0.205524;
280887;3125.550441;110;308;27.4875;4.47214;0.0386391;73;109.836;307.248;0;12;1;1;1.07735;-1.01917;-1.10068;1.09004;-1.02579;-1.10289;1;-0.790591;0.384892;0.106632;1;-0.136188;-1.51091;-1.39631;0.00771134;fp_not_a_fp;-1;0.205509;
280888;3125.561568;112;306;27.4992;4.47214;0.0487665;326;111.865;307.302;0;13;1;1;1.06994;-1.01306;-1.10403;1.08374;-1.02191;-1.10368;1;-0.791286;0.415932;0.072415;1;3.06505;-1.43075;-3.10822;0.00770806;fp_not_a_fp;-1;0.205523;
280889;3125.572695;114;306;27.5229;4.47214;0.038613;93;113.857;305.125;0;14;1;1;1.06213;-1.01223;-1.10305;1.07591;-1.01824;-1.10465;1;-0.780168;0.385201;0.0602774;1;2.43037;-1.41933;-3.61363;0.00770145;fp_not_a_fp;-1;0.205543;
280890;3125.583823;118;306;28.0699;5.65685;0.0661268;206;115.906;305.165;0;15;1;1;1.02793;-0.992597;-1.0815;1.05934;-1.00927;-1.09732;1;-1.06812;0.54846;0.294611;1;-7.14175;4.22319;5.18826;0.00955181;fp_not_a_fp;-1;0.205534;
280891;3125.594951;116;304;27.7903;6.32456;0.0876657;428;120.281;305.305;0;16;1;1;1.04504;-0.996874;-1.09621;1.05126;-1.00369;-1.0962;1;-0.854759;0.496946;0.185247;1;-1.44111;2.51722;1.76584;0.0107867;fp_not_a_fp;-1;0.205514;
280892;3125.606078;120;304;27.9156;2.82843;0.131944;120;117.773;303.171;0;17;1;1;1.02677;-0.992486;-1.09123;1.04047;-0.998548;-1.093;1;-0.867028;0.462568;0.173502;1;-1.70118;1.04747;2.2707;0.00480231;fp_not_a_fp;-1;0.205565;
280893;3125.617206;122;302;27.9874;4.47214;0.0419662;369;121.911;303.251;0;18;1;1;1.01731;-0.98436;-1.09218;1.02926;-0.991579;-1.09028;1;-0.869932;0.482497;0.135652;1;-2.0162;2.18564;1.6931;0.00757359;fp_not_a_fp;-1;0.205495;
280894;3125.628333;120;302;27.8002;4.47214;0.057572;521;123.981;301.086;0;19;1;1;1.03097;-0.990943;-1.09956;1.03002;-0.991166;-1.09479;1;-0.603494;0.35373;0.0180892;1;10.439;-4.37511;-6.21265;0.00762468;fp_not_a_fp;-1;0.205535;
