ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;
312;315;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449;249;8.49278;454.201;244.551;0;13;1;-0.152085;-1.41938;-2.05208;-0.180295;-1.38309;-2.04457;0.547023;-0.505832;0.304853;-0.0905239;-5.061;-6.57477;0;0;0;0;0.0173826;-1.51938;-1.91282;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
313;316;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447;249;8.55393;451.904;246.053;0;14;1;-0.139331;-1.40923;-2.03741;-0.168006;-1.39094;-2.04243;0.578729;-0.545811;0.262415;0.463945;-4.18651;-4.60708;0;0;0;0;0.0402895;-1.50923;-1.93731;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
314;317;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443;251;8.67572;449.045;247.739;0;15;1;-0.114368;-1.39904;-2.00245;-0.151914;-1.39337;-2.03043;0.628109;-0.539869;0.273235;0.94752;-3.56668;-3.44164;0;0;0;0;0.0800163;-1.49904;-1.91431;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
315;318;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;440;253;8.63673;446.064;249.563;0;16;1;-0.0975514;-1.41498;-2.0051;-0.135606;-1.39985;-2.02283;0.690033;-0.507289;0.314958;1.39601;-2.8709;-2.5069;0;0;0;0;0.119026;-1.51498;-1.91088;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
316;319;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437;253;8.6006;442.992;250.894;0;17;1;-0.0805556;-1.42092;-2.01352;-0.119091;-1.40617;-2.02004;0.76002;-0.466404;0.34409;1.89854;-2.04259;-1.66499;0;0;0;0;0.164949;-1.52092;-1.90146;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
317;320;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433.2;254.4;8.64885;439.613;252.28;0;18;1;-0.0581821;-1.41973;-1.99782;-0.100818;-1.41024;-2.01337;0.8216;-0.450313;0.318187;2.31551;-1.44997;-1.45756;0;0;0;0;0.219971;-1.51973;-1.87189;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
318;321;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;429;255;8.76837;435.887;253.465;0;19;1;-0.0334872;-1.40322;-1.9687;-0.0806188;-1.40813;-1.99997;0.890926;-0.370159;0.368995;2.76237;-0.328299;-0.618443;0;0;0;0;0.275503;-1.50322;-1.84904;0;0;0;675;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
319;322;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427;255;8.58851;432.571;254.321;0;20;1;-0.0225684;-1.43261;-2.00993;-0.0632037;-1.41547;-2.00296;0.952986;-0.320067;0.378971;3.15167;0.704321;0.0942936;0;0;0;0;0.322721;-1.53261;-1.86692;0;0;0;675;650;855;1129;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
320;323;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423;255;8.70907;428.951;254.934;0;21;1;0.000662523;-1.41277;-1.98211;-0.0440438;-1.41466;-1.9967;1.00247;-0.277075;0.362051;3.38568;1.47182;0.411181;0;0;0;0;0.380463;-1.51277;-1.83107;0;0;0;675;650;852;1117;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
321;324;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;419;256;8.7923;425.107;255.672;0;22;1;0.0233578;-1.40413;-1.9602;-0.0238233;-1.4115;-1.98575;1.04778;-0.212773;0.36527;3.45976;2.05897;0.447585;0;0;0;0;0.432895;-1.50413;-1.8123;0;0;0;675;650;847;1104;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
