ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; throttleP; throttleI; throttleD; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
962;965;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;809;322.4;13.9629;815.418;323.45;0;13;1;-1.37905;-1.049;-1.13442;-1.37668;-1.02866;-1.1154;0.346074;-0.243019;-0.14247;2.88771;-2.26034;-1.36087;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
963;966;2019/07/17 13:12:34;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;804;323.429;14.0056;811.754;323.929;0;14;1;-1.35703;-1.04891;-1.12902;-1.37079;-1.03473;-1.11949;0.348195;-0.265906;-0.166243;2.71133;-1.43891;-0.714347;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
964;967;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;801.429;324;14.174;808.313;324.434;0;15;1;-1.33185;-1.03816;-1.11454;-1.35911;-1.03576;-1.118;0.382593;-0.259671;-0.155385;2.54541;-0.918521;-0.335733;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
965;968;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;799.6;324;13.7056;805.255;324.791;0;16;1;-1.37071;-1.07363;-1.15263;-1.36259;-1.04712;-1.12839;0.343242;-0.295652;-0.195126;1.98591;-0.789178;-0.376893;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
966;969;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;795.75;324.25;13.8307;801.879;325.112;0;17;1;-1.34443;-1.0647;-1.14173;-1.35714;-1.05239;-1.13239;0.322601;-0.316152;-0.218596;1.40016;-0.783926;-0.516711;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
967;970;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;794.4;324;13.5803;799.015;325.257;0;18;1;-1.36425;-1.08354;-1.16326;-1.35927;-1.06174;-1.14166;0.25901;-0.356584;-0.268514;0.525116;-0.99331;-0.882033;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
968;971;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;791.091;324.727;13.6822;795.941;325.566;0;19;1;-1.34203;-1.07773;-1.1532;-1.3541;-1.06653;-1.14512;0.245574;-0.365181;-0.279759;-0.0861947;-1.08374;-1.07737;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
969;972;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;787.667;325.667;13.6486;792.677;326.06;0;20;1;-1.33281;-1.0833;-1.15423;-1.34771;-1.07156;-1.14785;0.239465;-0.366161;-0.281112;-0.485843;-1.05053;-1.10506;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
970;973;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;786.4;326;13.5446;789.93;326.506;0;21;1;-1.33838;-1.09266;-1.16244;-1.34491;-1.07789;-1.15223;0.200351;-0.387911;-0.305321;-1.01914;-1.14234;-1.26169;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
971;974;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;782.25;327.75;13.5268;786.685;327.349;0;22;1;-1.32483;-1.09958;-1.16056;-1.33889;-1.0844;-1.15473;0.214834;-0.381572;-0.288354;-1.12418;-1.02846;-1.12924;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
