rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
41526;462.064629;510;178;18.4557;2.82843;0;29;-1;-1;0;1;1;1;-0.41072;-0.918462;-2.03185;-0.41072;-0.918462;-2.03185;0;0;0;0;0;0;0;0;0.00728156;fp_not_a_fp;-1;0.227122;
41527;462.075757;510;178;18.4557;2.82843;0;29;510;178;1;0;1;1;-0.41072;-0.918462;-2.03185;-0.41072;-0.918462;-2.03185;1;-6.83246e-07;0;0;0;0;0;0;-1;fp_short_detection;-1;0.227143;
41528;462.086884;510;178;18.4557;2.82843;0;29;510;178;2;0;1;1;-0.41072;-0.918462;-2.03185;-0.41072;-0.918462;-2.03185;1;-8.78459e-07;0;0;0;-1.75441e-05;0;0;-1;fp_short_detection;-1;0.227142;
41529;462.098011;504;178;18.3585;2.82843;0.257179;21;510;178;0;1;1;1;-0.381839;-0.92357;-2.04245;-0.4035;-0.919739;-2.0345;1;0.331064;-0.0585581;-0.121516;0;14.8766;-2.63135;-5.46044;0.0073201;fp_not_a_fp;-1;0.227159;
41530;462.109139;504;178;18.3585;2.82843;0.257179;21;503.24;178;1;0;1;1;-0.378161;-0.924221;-2.0438;-0.39536;-0.921179;-2.03748;1;0.467817;-0.0827467;-0.171711;0;14.014;-2.47878;-5.14382;-1;fp_short_detection;-1;0.227148;
41531;462.120266;500;178;18.6752;2;0.160783;10;502.169;178;0;1;1;1;-0.355013;-0.908072;-2.00771;-0.381433;-0.918581;-2.03145;1;0.730006;0.102924;0.243057;0;16.4012;2.31245;5.46089;0.00508833;fp_not_a_fp;-1;0.227132;
41532;462.131393;500;178;18.6752;2;0.160783;10;498.496;178;1;0;1;1;-0.346902;-0.906929;-2.00501;-0.365479;-0.915698;-2.02474;1;0.838224;0.179636;0.41442;1;18.8326;4.03598;9.31098;-1;fp_short_detection;-1;0.227143;
41533;462.142521;500;178;18.6752;2;0.160783;10;496.605;178;2;0;1;1;-0.336426;-0.904683;-1.99984;-0.354125;-0.910976;-2.01409;1;0.896111;0.21416;0.491744;1;12.6948;6.12726;13.7784;-1;fp_short_detection;-1;0.227118;
41534;462.153648;494;178;17.6556;0;0.173434;12;494.687;178;0;1;1;1;-0.343223;-0.960768;-2.1235;-0.345391;-0.920113;-2.03402;1;0.727816;-0.441781;-0.956534;1;5.84143;-8.06662;-17.633;0;fp_not_a_fp;-1;0.227123;
41535;462.164775;494;178;17.6556;0;0.173434;12;492.088;178;1;0;1;1;-0.334775;-0.966174;-2.13521;-0.340331;-0.934639;-2.06589;1;0.662268;-0.718488;-1.56736;1;-1.52202;-18.4552;-40.6758;-1;fp_short_detection;-1;0.227136;
41536;462.175904;490;178;18.5384;0;0.156907;6;490.184;178;0;1;1;1;-0.306376;-0.915177;-2.02227;-0.3302;-0.936701;-2.0702;1;0.876222;-0.156668;-0.325323;1;0.853186;-7.55714;-16.6229;0;fp_not_a_fp;-1;0.227105;
