rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
260853;2902.602880;160;266;22.4149;2;0;14;-1;-1;0;1;1;1;1.10835;-1.10358;-1.44794;1.10835;-1.10358;-1.44794;0;0;0;0;0;0;0;0;0.00422902;fp_not_a_fp;-1;0.205341;
260854;2902.614007;160;266;22.4149;2;0;14;160;266;1;0;1;1;1.10835;-1.10358;-1.44794;1.10835;-1.10358;-1.44794;1;-1.36652e-06;0;0;0;0;0;0;-1;fp_short_detection;-1;0.205327;
260855;2902.625135;162;264;22.4013;2;0.187191;15;160;266;0;1;1;1;1.1005;-1.09728;-1.4535;1.10573;-1.10148;-1.44979;1;-0.0900403;0.0722115;-0.0637318;0;-8.09107;6.48906;-5.72706;0.00423164;fp_not_a_fp;-1;0.205323;
260856;2902.636262;166;262;22.4485;2;0.120653;11;162.255;263.745;0;2;1;1;1.08123;-1.08807;-1.45508;1.09961;-1.09813;-1.45111;1;-0.336666;0.198392;-0.10003;0;-15.1281;8.91465;-4.49465;0.00422276;fp_not_a_fp;-1;0.20533;
260857;2902.647389;166;262;22.4571;2;0.0535714;17;166.838;261.417;0;3;1;1;1.08081;-1.08765;-1.45452;1.09272;-1.09414;-1.45276;1;-0.40042;0.230038;-0.0958436;0;-11.9953;6.89115;-2.87102;0.00422115;fp_not_a_fp;-1;0.205315;
260858;2902.658516;168;260;22.3076;2.82843;0.0771009;18;166.973;261.355;0;4;1;1;1.07949;-1.08794;-1.46896;1.0855;-1.09023;-1.45801;1;-0.390849;0.210463;-0.247504;0;-8.78143;4.72854;-5.56076;0.00600953;fp_not_a_fp;-1;0.205342;
260859;2902.669644;168;260;22.1858;2;0.0535714;19;169.151;259.163;0;5;1;1;1.08542;-1.09392;-1.47703;1.08173;-1.08939;-1.4639;1;-0.269063;0.10702;-0.371113;1;-4.0226;0.782323;-6.90599;0.00427277;fp_not_a_fp;-1;0.20531;
260860;2902.680771;170;258;22.2521;2.82843;0.0782423;12;169.176;259.125;0;6;1;1;1.07359;-1.08364;-1.47734;1.07983;-1.08829;-1.46946;1;-0.319949;0.16846;-0.378376;1;0.37536;-0.672298;-6.2536;0.00602455;fp_not_a_fp;-1;0.205323;
260861;2902.691898;172;258;22.2893;2;0.0926641;15;171.204;257.007;0;7;1;1;1.0633;-1.08188;-1.47484;1.07545;-1.08684;-1.47454;1;-0.418219;0.19247;-0.304407;1;-0.40015;-0.843891;-4.68573;0.00425292;fp_not_a_fp;-1;0.20533;
260862;2902.703026;174;256;22.2814;2.82843;0.072608;15;173.348;257.083;0;8;1;1;1.0551;-1.07526;-1.48007;1.06935;-1.08367;-1.47732;1;-0.499446;0.253765;-0.294953;1;-2.44002;0.97299;-1.06587;0.00601662;fp_not_a_fp;-1;0.205335;
