rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
128434;1429.130148;804;116;94.4139;2.82843;0;17;-1;-1;0;1;1;1;-0.384595;-0.141081;-0.424918;-0.384595;-0.141081;-0.424918;0;0;0;0;0;0;0;0;0.0014199;fp_not_a_fp;-1;0.205453;
128435;1429.141275;800;118;94.5153;2;0.119043;14;804;116;0;2;1;1;-0.380155;-0.14257;-0.423362;-0.382375;-0.141826;-0.42414;1;0.0508913;-0.017066;0.017843;0;0;0;0;0.00100295;fp_not_a_fp;-1;0.205429;
128436;1429.152402;798;118;94.505;4;0.0908333;12;799.49;118.255;0;3;1;1;-0.37819;-0.142573;-0.423416;-0.38098;-0.142075;-0.423899;1;0.0879531;-0.0219742;0.0223144;0;3.33087;-0.441124;0.401863;0.00200611;fp_not_a_fp;-1;0.205434;
128437;1429.163530;794;118;94.5121;2;0.117273;18;797.089;118.328;0;4;1;1;-0.37415;-0.142537;-0.423401;-0.379272;-0.14219;-0.423774;1;0.138361;-0.0207855;0.0214869;0;3.93033;-0.167149;0.163749;0.00100298;fp_not_a_fp;-1;0.205432;
128438;1429.174657;792;116;94.478;4.47214;0.0969574;30;792.529;118.316;0;5;1;1;-0.372294;-0.140909;-0.424681;-0.376197;-0.142147;-0.423715;1;0.162824;0.00101242;0.00373634;0;3.35306;0.54157;-0.42259;0.00224352;fp_not_a_fp;-1;0.205454;
128439;1429.185785;790;116;94.8387;4.47214;0.0810186;36;790.232;116.016;0;6;1;1;-0.368879;-0.140361;-0.423074;-0.373378;-0.141595;-0.423643;1;0.191311;0.0161798;0.0143406;0;3.15481;0.74695;-0.0786921;0.002235;fp_not_a_fp;-1;0.205422;
128440;1429.196913;788;116;94.8862;2.82843;0.0949887;16;788.071;115.89;0;7;1;1;-0.366696;-0.140278;-0.422871;-0.370505;-0.141021;-0.423507;1;0.203699;0.0213342;0.0192232;1;2.6004;0.97303;-0.0694658;0.00141284;fp_not_a_fp;-1;0.20545;
128441;1429.208040;786;114;95.6956;2.82843;0.107315;14;785.861;115.792;0;8;1;1;-0.361629;-0.137434;-0.420407;-0.367374;-0.139746;-0.422758;1;0.240926;0.0533439;0.0470372;1;2.30435;1.6655;0.574033;0.00140088;fp_not_a_fp;-1;0.205447;
128442;1429.219167;784;114;96.2504;2;0.10602;12;783.876;113.504;0;9;1;1;-0.357574;-0.136629;-0.417992;-0.363695;-0.138676;-0.421086;1;0.272054;0.0689923;0.0802154;1;2.45411;1.52733;1.71829;0.000984861;fp_not_a_fp;-1;0.205476;
128443;1429.230294;784;112;96.4595;2.82843;0.108588;20;781.888;113.478;0;10;1;1;-0.356814;-0.134701;-0.418181;-0.360678;-0.137261;-0.419863;1;0.25893;0.0887598;0.0815257;1;1.51925;1.63066;1.50948;0.0013898;fp_not_a_fp;-1;0.205444;
128444;1429.241422;782;112;96.9904;2;0.107969;16;782.199;111.24;0;11;1;1;-0.352906;-0.133952;-0.4159;-0.357231;-0.135679;-0.41812;1;0.265275;0.0942012;0.0978126;1;1.38348;1.63712;1.76571;0.000977366;fp_not_a_fp;-1;0.205439;
128445;1429.252549;782;110;97.0417;2.82843;0.0195242;14;780.288;111.237;0;12;1;1;-0.352735;-0.132259;-0.416769;-0.355008;-0.134385;-0.417211;1;0.236026;0.103841;0.082105;1;-0.110071;1.13452;0.78789;0.00138145;fp_not_a_fp;-1;0.20545;
128446;1429.263677;782;108;97.4143;2;0.063918;15;780.583;109.074;0;13;1;1;-0.351401;-0.130137;-0.41626;-0.353464;-0.132762;-0.416778;1;0.209128;0.118899;0.0709812;1;-1.41375;1.12123;-0.207455;0.000973104;fp_not_a_fp;-1;0.205465;
128447;1429.274804;780;108;97.9251;2;0.0534896;17;780.915;106.83;0;14;1;1;-0.347632;-0.129446;-0.414097;-0.351168;-0.131448;-0.415757;1;0.214543;0.117879;0.0821273;1;-0.997234;0.654212;0.0135365;0.000968022;fp_not_a_fp;-1;0.205466;
128448;1429.285931;780;106;97.8105;4.47214;0.0667297;22;778.893;106.91;0;15;1;1;-0.348054;-0.127988;-0.415662;-0.349955;-0.129957;-0.415697;1;0.184577;0.119132;0.0583137;1;-1.81304;0.5601;-0.887428;0.00216711;fp_not_a_fp;-1;0.205483;
128449;1429.297059;778;104;98.0165;2.82843;0.00957691;21;779.065;104.793;0;16;1;1;-0.345403;-0.126101;-0.415875;-0.348122;-0.128418;-0.415473;1;0.179036;0.126086;0.0385999;1;-1.28038;0.49976;-0.977393;0.00136771;fp_not_a_fp;-1;0.205448;
128450;1429.308186;776;102;96.6049;2.82843;0.0158881;18;776.96;102.638;0;17;1;1;-0.348502;-0.126301;-0.423053;-0.347398;-0.127459;-0.417172;1;0.118381;0.110578;-0.0567597;1;-2.03887;-0.186987;-2.87002;0.00138771;fp_not_a_fp;-1;0.205448;
