rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
303501;3377.107127;770;194;20.7286;2;0.107535;10;777.299;197.38;4;0;1;1;-1.6072;-0.854271;-1.72098;-1.6072;-0.856305;-1.7377;1;-0.00715135;0.119678;0.99617;1;2.08787;0.755668;2.63535;-1;fp_not_a_fp;-1;0.242522;
303502;3377.118254;780;196;21.6946;2.82843;0.118138;8;779.185;198.266;0;1;1;1;-1.57843;-0.827472;-1.68106;-1.60005;-0.848607;-1.71943;1;0.327126;0.412892;1.33105;1;8.53256;6.94871;8.74633;0.00619906;fp_not_a_fp;-1;0.242478;
303503;3377.129382;780;196;21.6946;2.82843;0.118138;8;782.074;196.568;1;0;1;1;-1.57427;-0.822455;-1.66573;-1.5918;-0.839967;-1.70002;1;0.471245;0.538903;1.47538;1;11.2375;9.59111;11.3429;-1;fp_not_a_fp;-1;0.242499;
303504;3377.140508;786;198;22.0185;0;0.22614;5;784.241;197.003;0;1;1;1;-1.58129;-0.822098;-1.65192;-1.5853;-0.831573;-1.67992;1;0.390153;0.526338;1.50513;1;9.11985;9.20583;11.6667;0;fp_not_a_fp;-1;0.242505;
303505;3377.151635;788;198;21.7438;0;0.122035;3;788.501;198.529;0;2;1;1;-1.61001;-0.832332;-1.67289;-1.586;-0.826089;-1.6679;1;-0.0223741;0.336686;1.0851;1;-0.342377;4.87553;1.99767;0;fp_not_a_fp;-1;0.242486;
303506;3377.162763;788;198;21.7438;0;0.122035;3;790.532;198.471;1;0;1;1;-1.61028;-0.828291;-1.66071;-1.59397;-0.826294;-1.66281;1;-0.193091;0.261695;0.912715;1;-11.6884;-3.3973;-9.39936;-1;fp_not_a_fp;-1;0.242481;
303507;3377.173889;790;200;22.4651;2;0.203455;11;793.104;198.955;0;1;1;1;-1.56696;-0.812566;-1.61467;-1.59214;-0.823821;-1.65004;1;0.257632;0.377591;1.25285;1;-4.79899;-3.62422;-4.99941;0.00423306;fp_not_a_fp;-1;0.242472;
303508;3377.185016;790;200;22.4651;2;0.203455;11;792.195;200.661;1;0;1;1;-1.56439;-0.808594;-1.60105;-1.58791;-0.820445;-1.63733;1;0.44046;0.422854;1.38965;1;1.13087;-2.32491;-2.59423;-1;fp_not_a_fp;-1;0.242472;
303509;3377.196144;796;202;22.686;0;0.220197;2;794.212;201.384;0;1;1;1;-1.57702;-0.811252;-1.59466;-1.57967;-0.815175;-1.61777;1;0.315114;0.357151;1.34217;1;7.58358;0.460128;5.77652;0;fp_not_a_fp;-1;0.242472;
303510;3377.207271;796;202;22.686;0;0.220197;2;798.223;202.859;1;0;1;1;-1.57305;-0.807256;-1.5794;-1.57036;-0.809916;-1.59745;1;0.268626;0.33026;1.32639;1;10.3745;1.54073;9.29477;-1;fp_not_a_fp;-1;0.242467;
303511;3377.218398;796;202;22.686;0;0.220197;2;800.547;203.789;2;0;1;1;-1.56942;-0.803491;-1.56408;-1.57097;-0.807648;-1.5848;1;0.256709;0.320178;1.3262;1;-0.0204926;-1.28984;1.64831;-1;fp_not_a_fp;-1;0.242494;
303512;3377.229525;802;204;23.1866;0;0.201481;4;802.978;204.746;0;1;1;1;-1.56774;-0.800194;-1.55605;-1.57181;-0.805548;-1.57355;1;0.238327;0.312966;1.24906;1;-4.54129;-2.46884;-3.15849;0;fp_not_a_fp;-1;0.242482;
303513;3377.240652;802;204;23.1866;0;0.201481;4;804.342;204.863;1;0;1;1;-1.56537;-0.796869;-1.54237;-1.5689;-0.801952;-1.56047;1;0.227476;0.308184;1.21473;1;-1.96901;-1.10016;-2.8632;-1;fp_not_a_fp;-1;0.242539;
303514;3377.251779;802;204;23.1866;0;0.201481;4;806.646;205.69;2;0;1;1;-1.56297;-0.793512;-1.52905;-1.56638;-0.798516;-1.54789;1;0.221558;0.305376;1.19829;1;-1.0575;-0.55909;-2.8779;-1;fp_not_a_fp;-1;0.242516;
